"ID","Name","Is_Closed","URL","Review_Count","Categories","Rating","Latitude","Longitude","Price","Address"
"kO8LxRzXY1tAdFrfpnecyw","The 5 O'Clock Club","FALSE","https://www.yelp.com/biz/the-5-o-clock-club-cumberland?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","13","American (Traditional) | Italian | Seafood","3.5","45.5870132446289","-92.0113754272461","$$","2639 7th St"
"dqbBjQ8vgWYdeie1zRjQIg","County Line","FALSE","https://www.yelp.com/biz/county-line-comstock?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","10","Bars | Barbeque","4.5","45.5253181","-92.156311","$","3 220th Ave"
"6oPy4cPZcp92YUwZPnW9Ag","Lakeside Restaurant","FALSE","https://www.yelp.com/biz/lakeside-restaurant-cumberland?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","16","Pizza | Italian | Breakfast & Brunch","3.5","45.5433","-92.01875","$","1780 Arcade Ave"
"VdG8aOD3Qus_QpWqrkBr9g","Nezzy's Sports Bar & Grill","FALSE","https://www.yelp.com/biz/nezzys-sports-bar-and-grill-cumberland?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","12","Sports Bars | American (Traditional)","4","45.53461","-92.021865","$","1345 2nd Ave"
"63kFtw0uhqcsJNMl0vg8oQ","Hilltop Retreat","FALSE","https://www.yelp.com/biz/hilltop-retreat-cumberland?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","2","Restaurants","3","45.62437","-92.12703","","2896 1 1/2 St"
"OJaS0efHH7UMG5a625S2UA","Our Place Cafe","FALSE","https://www.yelp.com/biz/our-place-cafe-cumberland?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","3","Cafes","3.5","45.5329084","-92.0216992","$","1233 2nd Ave"
"HOsLLaVSnDhYMg0OPU2cTQ","Corner Bar & Restaurant","FALSE","https://www.yelp.com/biz/corner-bar-and-restaurant-cumberland?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","4","Pizza","4","45.53249","-92.02187","$$","1201 2nd Ave"
"bOzZV2JB-iQTWe7i52-Tcw","Bistro 63","FALSE","https://www.yelp.com/biz/bistro-63-barronett?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","23","American (New) | Bars","5","45.6372799","-91.99292","$$$","2982 US Hwy 63"
"17iRC9DlmbJLdxKybymfRQ","Brick House Cafe","FALSE","https://www.yelp.com/biz/brick-house-cafe-barronett?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","6","Restaurants","4.5","45.63642","-91.99291","$","2974 US Highway 63"
"mDw1L_5ov_Djk7gp2av7Aw","Bona Casa Foods","FALSE","https://www.yelp.com/biz/bona-casa-foods-cumberland?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","22","Pizza | Italian","4","45.51038","-91.999634","$","754 21st Ave"
"oTcDor6iAwHWv290TrdSlw","Getaway Bar N Grill","FALSE","https://www.yelp.com/biz/getaway-bar-n-grill-sarona?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","5","Bars | American (Traditional) | Burgers","5","45.6960667354113","-91.8532119691372","","W6320 County Hwy D"
"Nc7EDsX0b66mOaUsrY9eRA","The Red Brick","FALSE","https://www.yelp.com/biz/the-red-brick-barronett-2?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","1","American (Traditional)","5","45.63642","-91.99291","","2974 US Hwy 63"
"HgoNlCZoGXQtLX6_MxDrVA","Barronett Bar & Grill","FALSE","https://www.yelp.com/biz/barronett-bar-and-grill-barronett?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","2","Bars | American (Traditional)","3","45.636578053236","-91.9926499575377","","2976 US Hwy 63"
"lwMe5fCEXe1DojN9QlLgoQ","New Frontier","FALSE","https://www.yelp.com/biz/new-frontier-turtle-lake?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","13","Restaurants","4.5","45.39607","-92.1499599","","440 US Highway 8 63"
"mGbU4Am0OYifkerGVqwodQ","Crystal Lake Cheese Factory","FALSE","https://www.yelp.com/biz/crystal-lake-cheese-factory-comstock?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","1","Restaurants","5","45.4752854257822","-92.0782546699047","","1858 Highway 63"
"N5J8qoVIunJwzmwOc4nU0w","Restaurant Hotel Bar & Grill","FALSE","https://www.yelp.com/biz/restaurant-hotel-bar-and-grill-turtle-lake-2?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","5","Bars | American (Traditional)","4.5","45.3939915","-92.1418156","$","112 Railway Ave"
"PM3ZPmcN7B5F-f9FdQpIgg","Me-Ki-Noc Restaurant","FALSE","https://www.yelp.com/biz/me-ki-noc-restaurant-turtle-lake?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","2","Casinos | American (Traditional)","3","45.4005186","-92.1391269","","777 US Highway 8 63"
"h3yiObX6YcTnotVGIghm9Q","J  Cool's Bar","FALSE","https://www.yelp.com/biz/j-cools-bar-turtle-lake?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","2","Sports Bars | Burgers | Pizza","4.5","45.39556","-92.14386","$","215 Martin Ave W"
"uxn9z-CPXLih3lNYgs2y7A","Lake Country Pizza","FALSE","https://www.yelp.com/biz/lake-country-pizza-turtle-lake?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","6","Pizza","4","45.3997777381669","-92.1436343011846","","225 US 8"
"faCwfvmq6yk5TdJZVggHhA","Spare Time Bowl Bar & Grill","FALSE","https://www.yelp.com/biz/spare-time-bowl-bar-and-grill-turtle-lake?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","4","Bowling | Burgers | Sandwiches","4.5","45.393655076623","-92.1554030478001","","440 Industrial Ave"
"k7ajijFhVc193IAAmLKTyQ","Twin Town Store","FALSE","https://www.yelp.com/biz/twin-town-store-almena?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","1","Cheese Shops | Bars | Breakfast & Brunch","5","45.3597051","-92.0329293","","597 10 1/2 Ave"
"M9txu0zUho7F0N7IFxTB8Q","Brothers Country Mart Restaurant","FALSE","https://www.yelp.com/biz/brothers-country-mart-restaurant-turtle-lake?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","1","Burgers | Sandwiches | Bars","4","45.40149","-92.14349","$$","730 Hwy 63 And 8"
"H35CWZVMJOcgDVQiwM9sMA","Jay's Bar B Que","FALSE","https://www.yelp.com/biz/jays-bar-b-que-marked-tree?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","1","Barbeque","3","45.40153","-92.143812","","100 B Hwy 63 B"
"B7cqMEG7oneXHnqvBFfjpw","McDonald's","FALSE","https://www.yelp.com/biz/mcdonalds-turtle-lake?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","2","Burgers | Fast Food | Coffee & Tea","2","45.3945099619096","-92.1573883777319","","638 Hwy 8"
"8OTBKu0Kv4KL9j6r_EpwcQ","Rolling Oaks Restaurant & Lounge","FALSE","https://www.yelp.com/biz/rolling-oaks-restaurant-and-lounge-barron?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","4","Restaurants","5","45.4009018","-91.865509","$","450 W Division Ave"
"LGTrtUdU7roJxTFoieQjyg","Susie's Cafe","FALSE","https://www.yelp.com/biz/susies-cafe-barron?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","7","Sandwiches | Comfort Food","2.5","45.4010543823242","-91.8537139892578","","16 S 3rd St"
"Q6Ng1IFjDcf2acKOFYlABg","Kate's Bar","FALSE","https://www.yelp.com/biz/kates-bar-barron?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","2","Burgers | Pubs | Cafes","4","45.4002553089974","-91.8538504926201","$","56 S 3rd St"
"-tIxzSrcPjwoAv443j3gvg","Hanson's Hideaway","FALSE","https://www.yelp.com/biz/hansons-hideaway-haugen?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","4","American (Traditional)","4","45.608029","-91.773992","","209 County Road Ss"
"hPjiLXFK3UDR-ze4bUwcTw","The Country Inn Supper Club","FALSE","https://www.yelp.com/biz/the-country-inn-supper-club-rice-lake-2?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","7","American (New) | Seafood | Steakhouses","4.5","45.56694680998","-91.7574600777171","","2499 County Rd Ss"
