"ID","Name","Is_Closed","URL","Review_Count","Categories","Rating","Latitude","Longitude","Price","Address"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"i9mhARMxtp8gJ7ZLO7_dtA","Skaliwags By Chef Chris","FALSE","https://www.yelp.com/biz/skaliwags-by-chef-chris-suamico?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","3","American (New)","4.5","44.5917699","-88.07237","$$$","2314 Lineville Rd"
"ePBLeoZMk4J4iUg8w5ksDA","Kropp's Supper Club","FALSE","https://www.yelp.com/biz/kropps-supper-club-green-bay?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","19","American (Traditional)","4.5","44.58797","-88.15908","$$","4570 Shawano Ave"
"qG3D_TXUgqXHbYbyzT6onA","Spork Cafe & Catering","FALSE","https://www.yelp.com/biz/spork-cafe-and-catering-suamico?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","28","Coffee & Tea | Breakfast & Brunch","5","44.63183","-88.05274","$$","1760 Riverside Dr"
"Hz4WpytNHscyyVxZ6TUu7w","Hinterland Brewery","FALSE","https://www.yelp.com/biz/hinterland-brewery-green-bay?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","287","American (New) | Brewpubs | Beer Tours","4","44.503265","-88.06425","$$$","1001 Lombardi Ave"
"l2l-kFKyMXVQr80yYPSdCg","Chives Restaurant","FALSE","https://www.yelp.com/biz/chives-restaurant-suamico-2?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","76","American (New)","4.5","44.6315059","-88.0528524","$$$","1749 Riverside Dr"
"38jIwg9HFWnE81twuneD9w","River's Bend","FALSE","https://www.yelp.com/biz/rivers-bend-green-bay?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","39","Seafood | Steakhouses | Supper Clubs","4","44.56203","-88.06273","$$$","792 Riverview Dr"
"aBV_LeWbxTEB4jcMI0TlSA","The Bottle Room","FALSE","https://www.yelp.com/biz/the-bottle-room-green-bay?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","36","Wine Bars | Tapas Bars","4","44.5920282535671","-88.069458449848","$$","2300 Lineville Rd"
"6cciE_HlQY__rpE1DXTZcQ","Rustique Pizzeria + Lounge","FALSE","https://www.yelp.com/biz/rustique-pizzeria-lounge-green-bay?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","95","Pizza | American (New) | Latin American","4.5","44.62997","-88.05635","$$","13201 Velp Ave"
"Nwg_pvNcrNR-otMVq7u6gA","1919 Kitchen & Tap","FALSE","https://www.yelp.com/biz/1919-kitchen-and-tap-green-bay?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","199","American (New) | Gastropubs","3.5","44.5011611","-88.0622271","$$","1265 Lombardi Ave"
