"ID","Name","Is_Closed","URL","Review_Count","Categories","Rating","Latitude","Longitude","Price","Address"
"EX9XI2SXPnZrScAkJh7uHg","Gobblers Knob Supper Club","FALSE","https://www.yelp.com/biz/gobblers-knob-supper-club-stockbridge?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","7","American (Traditional)","4.5","44.0720443725586","-88.2994918823242","","101 N Military Rd"
"Y2sNfSJy9XwT1dqhlwr3dw","Granary","FALSE","https://www.yelp.com/biz/granary-sherwood?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","8","American (New)","3.5","44.18063","-88.25338","$$","N586 Military Rd"
"tc9stc_UuEimkIZgMWTFag","Mud Creek Coffee","FALSE","https://www.yelp.com/biz/mud-creek-coffee-stockbridge?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","20","Coffee & Tea | Breakfast & Brunch","4.5","44.071605682373","-88.2986145019531","$$","106 S Military Rd"
"dxicDKaNN2DbqgPqbskOoQ","The Source Public House","FALSE","https://www.yelp.com/biz/the-source-public-house-menasha?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","68","Gastropubs | Music Venues | Beer Bar","3.5","44.2118760159639","-88.364231222229","$$","890 Lake Park Rd"
"l_jvUHc9WUCX9pn37f9HKg","Fishtail Inn","FALSE","https://www.yelp.com/biz/fishtail-inn-hilbert?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","3","Pizza | Buffets","4.5","44.10293","-88.32033","","W5636 Cty Ee"
"xTE__Qxlrai6l0Bvc99XNQ","Lupita's Bar & Grill","FALSE","https://www.yelp.com/biz/lupitas-bar-and-grill-sherwood?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","3","Mexican","4.5","44.1736717224121","-88.2635726928711","","378 N Military Rd"
"lSzEhJwsg0gUJ_g0MwHCOQ","Rice Market Southeast Asian Kitchen","FALSE","https://www.yelp.com/biz/rice-market-southeast-asian-kitchen-appleton?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","22","Asian Fusion","4.5","44.24538","-88.34883","$","W3192 County Road Kk"
"_DyJiE6515HenPUnf2VKhA","The Chubby Seagull","FALSE","https://www.yelp.com/biz/the-chubby-seagull-sherwood?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","4","Ice Cream & Frozen Yogurt | Pizza | Coffee & Tea","3.5","44.1761400158174","-88.2996749153442","$","N7721 State Park Rd"
"ceIKAJphvaR2Lqq2gF0cMQ","Stone Arch Brewpub","FALSE","https://www.yelp.com/biz/stone-arch-brewpub-appleton?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","226","American (New) | Gastropubs | Breweries","4","44.25335","-88.40326","$$","1004 S Olde Oneida St"
"OCKn3i2g2HekTAjB3P4hXw","Waverly Beach","FALSE","https://www.yelp.com/biz/waverly-beach-menasha?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","27","American (Traditional)","3","44.209388","-88.403282","$$","N8770 Firelane 1"
"4Ao_rxMXjdlc1ZjlnTkjpA","Freshii","FALSE","https://www.yelp.com/biz/freshii-appleton?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","27","Vegetarian | Salad | Juice Bars & Smoothies","4","44.2455861336317","-88.3459951613781","$","N162 Eisenhower Dr"
"95zjJJskvySxkUyOqb7RNg","MACS Macaroni and Cheese Shop","FALSE","https://www.yelp.com/biz/macs-macaroni-and-cheese-shop-appleton?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","21","Desserts | American (Traditional) | Sandwiches","4","44.2452504134072","-88.3492616191506","$$","W3192 County Road Kk"
"mCenyPyRH77VNmna0Ax3hw","Little Chicago","FALSE","https://www.yelp.com/biz/little-chicago-kaukauna?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","15","American (New) | Buffets | Venues & Event Spaces","2.5","44.24133","-88.28259","$$","N9650 Friendship Dr"
"UqYujwL9-SUgUcqz5QXSUA","Lugnut Bar and Grill","FALSE","https://www.yelp.com/biz/lugnut-bar-and-grill-menasha?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","1","Bars | American (Traditional)","4","44.1616243748893","-88.2651496993416","","N7475"
"afSAEuqmpW3NvTnA-p6dBQ","Chefo's Pancake House","FALSE","https://www.yelp.com/biz/chefos-pancake-house-kimberly?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","45","Breakfast & Brunch","4.5","44.27107","-88.34501","$","760 W Kimberly Ave"
"82WKSwhYtcuWAgC5F8Qn0g","Mohnen's Family Restaurant","FALSE","https://www.yelp.com/biz/mohnens-family-restaurant-appleton-2?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","39","Breakfast & Brunch | Fast Food","4","44.24285","-88.32172","$","W5669 County Rd Kk"
"fXSLbRHgKTlzgU3SxHzcDQ","Chung's Sandwich Bar","FALSE","https://www.yelp.com/biz/chungs-sandwich-bar-appleton?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","18","Vietnamese | Sandwiches","4.5","44.2459506678176","-88.3960991634885","$","1804 S Lawe St"
"flxaPu2OWHg-KhhgSRPhdA","Rico's Family Restaurant South","FALSE","https://www.yelp.com/biz/ricos-family-restaurant-south-combined-locks?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","17","American (Traditional)","4.5","44.26619","-88.32377","$","427 S Washington St"
"PAMf4bZdcjBgbrXv8396fA","Lake Park Pub","FALSE","https://www.yelp.com/biz/lake-park-pub-menasha?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","18","Pubs | American (Traditional)","3.5","44.2177759","-88.3634681","$","8904 Lake Park Rd"
"Mlx7V7HYw2G_eB5LOGDG8A","Mark's East Side","FALSE","https://www.yelp.com/biz/marks-east-side-appleton?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","75","Steakhouses | German","4.5","44.27275","-88.38276","$$","1405 E Wisconsin Ave"
"jJCQPiy_lkuHguzMxqQoWA","Cinders Charcoal Grill","FALSE","https://www.yelp.com/biz/cinders-charcoal-grill-appleton-3?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","22","American (Traditional) | Fish & Chips | Burgers","4","44.26009","-88.36185","$$","221 S Kensington Dr"
"vsxz_kji2UXRWVPU3y7deg","TJ Thai & Japanese Steakhouse","FALSE","https://www.yelp.com/biz/tj-thai-and-japanese-steakhouse-appleton?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","56","Japanese | Thai","3.5","44.24271","-88.34523","$$","W6157 Lorna Ln"
"8nSISPbpTGH0O-O-pCeRJw","Tempest Coffee Collective","FALSE","https://www.yelp.com/biz/tempest-coffee-collective-appleton?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","39","Coffee & Tea | Breakfast & Brunch","4.5","44.2599628","-88.3867023","$","181 S Riverheath Way"
"cXmXbSh86MZ31_QDoDVuSg","Cimarron Bar & Grill","FALSE","https://www.yelp.com/biz/cimarron-bar-and-grill-menasha?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","2","Bars | American (Traditional)","4.5","44.212477","-88.396532","","W7170 Highway 10 / 114"
"jEnUj6Bw_bBODI_qQI15dQ","Lox Club","FALSE","https://www.yelp.com/biz/lox-club-combined-locks?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","12","Bars | American (Traditional) | Seafood","4.5","44.26926","-88.29703","$$","591 State St"
"dFh7L6cumDr9kTHg-sigvQ","Anduzzi's Sports Club - Kimberly","FALSE","https://www.yelp.com/biz/anduzzis-sports-club-kimberly-kimberly?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","19","Sports Bars | American (Traditional)","3","44.2622214","-88.3240928","$$","800 S Washington St"
"J0HiJU3V-9v2kWkWZ-c8Lw","Dairyland Brew Pub","FALSE","https://www.yelp.com/biz/dairyland-brew-pub-appleton?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","30","Pubs | Music Venues | American (New)","4","44.27326","-88.38607","$$","1216 E Wisconsin Ave"
"4OT4-A_2upa8UQJm-iQACg","MrBrews Taphouse - Appleton","FALSE","https://www.yelp.com/biz/mrbrews-taphouse-appleton-appleton?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","37","American (Traditional) | Beer Bar | Wine Bars","3.5","44.26086","-88.38637","$$","201 RiverHeath Way"
"h75GUo1J06hqEckweEsH-A","Mr. Taco","FALSE","https://www.yelp.com/biz/mr-taco-kimberly?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","9","Mexican","4","44.261366","-88.326192","","700 Shelfhout Lane"
"ELolF8oe07DrD37iEx2MiA","The Cozzy Corner","FALSE","https://www.yelp.com/biz/the-cozzy-corner-kaukauna?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","10","Soul Food | Comfort Food","4","44.277790287613","-88.272310517665","","107 E 2nd St"
"Z3fiuF2A-f1Mida8DoSoVg","The Darboy Club","FALSE","https://www.yelp.com/biz/the-darboy-club-appleton?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","14","Venues & Event Spaces | Party & Event Planning | American (New)","2.5","44.2432468116236","-88.3237051963806","$$","N9695 County Rd N"
"ciDSWGRAQR4GfSjT0q5NUg","Dick's Drive-Inn","FALSE","https://www.yelp.com/biz/dicks-drive-inn-kaukauna?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","19","Burgers | American (Traditional)","4","44.2648697","-88.2734222","$","1718 Crooks Ave"
"fNueY5xAsdTIS-0YTW2Sfw","Apple Valley Pancake House","FALSE","https://www.yelp.com/biz/apple-valley-pancake-house-appleton?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","18","Breakfast & Brunch | American (New) | Sandwiches","4","44.27322","-88.39941","$","500 E Wisconsin Ave"
"n50NC8ecjKzgYfLSl25U7A","Pho Saigon Vietnamese Cuisine","FALSE","https://www.yelp.com/biz/pho-saigon-vietnamese-cuisine-appleton?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","23","Vietnamese","3.5","44.25721","-88.3486099","$$","W3169 Van Roy Rd"
"utCyxJMaWjK_0wLgoksKKw","Island Sushi","FALSE","https://www.yelp.com/biz/island-sushi-appleton?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","68","Sushi Bars | Japanese","4","44.246024","-88.345983","$$","N162 Eisenhower Dr"
"yqVo5PhS3ReU6Em_FCoAbA","Rico's Family Restaurant","FALSE","https://www.yelp.com/biz/ricos-family-restaurant-kaukauna?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","4","American (Traditional)","4.5","44.2829610045012","-88.2701972640167","","211 W Wisconsin Ave"
"-QIbQDOojML-HZ4yV3UpXg","Red Robin Gourmet Burgers","FALSE","https://www.yelp.com/biz/red-robin-gourmet-burgers-appleton?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","39","Burgers | American (Traditional)","2.5","44.24424","-88.35216","$$","N109 Stoneybrook Road"
"_feTspi6n1c3RwkZ5rVHjA","Kamps Bar & Grill","FALSE","https://www.yelp.com/biz/kamps-bar-and-grill-combined-locks?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","5","Bars | Karaoke | American (New)","4.5","44.2691299","-88.31929","$","303 Williams St"
"3ItTQUMi9jzM8baCeLPffQ","Refuge Lounge","FALSE","https://www.yelp.com/biz/refuge-lounge-appleton?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","24","Music Venues | Lounges | Pizza","3.5","44.24011","-88.36072","$$","2400 S Kensington Dr"
"vYFZ1ed_cNoUfzNr8pmoHw","Pagoni's Pizza","FALSE","https://www.yelp.com/biz/pagonis-pizza-kaukauna-4?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","16","Pizza | Italian | Sandwiches","4","44.2591389394078","-88.2726578328865","$$","320 E Ann St"
"YqiOLRiAsJC3xwARNwryPw","Game Day Sports Bar","FALSE","https://www.yelp.com/biz/game-day-sports-bar-appleton?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","18","American (Traditional) | Sports Bars","2.5","44.2473083389307","-88.3523890696598","$$","N225 Stoney Brook Rd"
"mRhpQs8XJmJ7n9awDBqHgw","Tanner's Grill & Bar","FALSE","https://www.yelp.com/biz/tanners-grill-and-bar-kimberly?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","16","Pizza | Sports Bars | American (Traditional)","3.5","44.261303","-88.33975","$$","730 S Railroad St"
"n_vFYfhtURTgX1_T79npjg","JD's Drive-In","FALSE","https://www.yelp.com/biz/jds-drive-in-appleton?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","27","Burgers | Fast Food","4","44.2500495910645","-88.3748016357422","$","1939 E John St"
"JSqT3bePTj5VwLEoSOzj-g","Camelot Bar & Grill","FALSE","https://www.yelp.com/biz/camelot-bar-and-grill-appleton?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","11","Lounges | American (Traditional)","4.5","44.2731606","-88.3788588","$","1700 E Wisconsin Ave"
"FjhjqueD-uRJtiXntBqVAg","Riverside Bar & Grill","FALSE","https://www.yelp.com/biz/riverside-bar-and-grill-appleton?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","3","Bars | American (Traditional) | Music Venues","4.5","44.254638671875","-88.4031982421875","$","906 S Olde Oneida St"
"-Qn-E-9F63Sn8QBUL3y-Ag","Old Glory Cafe","FALSE","https://www.yelp.com/biz/old-glory-cafe-kimberly?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","4","Cafes","4","44.2725049","-88.3346028","$","104 W Kimberly Ave"
"DIezMW1UFkPmVOMW4e9jtw","El Jaripeo Mexican Restaurant","FALSE","https://www.yelp.com/biz/el-jaripeo-mexican-restaurant-little-chute?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","31","Mexican","3.5","44.28504","-88.29078","$$","1821 E Main St"
"OOezKSxAiX6e8GjddOftTQ","Milltown Still & Grill","FALSE","https://www.yelp.com/biz/milltown-still-and-grill-combined-locks?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","1","American (Traditional) | Sports Bars","4","44.2724985763577","-88.3195125684142","","101 Darboy Rd"
"TL37w11AGwxwad72oTtWog","Kaukauna Coffee & Tea","FALSE","https://www.yelp.com/biz/kaukauna-coffee-and-tea-kaukauna?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","10","Coffee & Tea | Sandwiches | Bakeries","4.5","44.28192","-88.26873","$","127 W Wisconsin Ave"
"Q2gttHR0OAzlWzxHfuXJZA","Noodles & Company","FALSE","https://www.yelp.com/biz/noodles-and-company-appleton?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","6","Soup | Noodles | Salad","3","44.24369","-88.34903","$$","3719 E Calumet St"
"Hzz1V2Xc6rcOv5Nc8YHS1A","Houdini's Escape Gastropub","FALSE","https://www.yelp.com/biz/houdinis-escape-gastropub-appleton?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","202","Gastropubs","4","44.251151","-88.403904","$$","1216 S Oneida St"
"MNdZ95DzvQ2R3c3B4TPWdQ","Wilder's Bistro","FALSE","https://www.yelp.com/biz/wilders-bistro-appleton?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","24","Seafood | Bars | American (Traditional)","4.5","44.2382264004181","-88.4047389420108","$$","2639 S Oneida St"
