"ID","Name","Is_Closed","URL","Review_Count","Categories","Rating","Latitude","Longitude","Price","Address"
"6sIit82-SuZ6x6rwEYOqvQ","Plateia Mediterranean Kitchen - Bar","FALSE","https://www.yelp.com/biz/plateia-mediterranean-kitchen-bar-glenview?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","320","Bars | Mediterranean | Greek","4.5","42.060479","-87.844443","$$","9860 Milwaukee Ave"
"C5-nvqlxsixTPbm3g5rnmg","Jolane's","FALSE","https://www.yelp.com/biz/jolanes-glenview-2?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","330","Coffee & Tea | Wine Bars | American (New)","4","42.0761552429752","-87.8604508226098","$$","1100 Milwaukee Ave"
"kkJSmTFLo3PbcDGZCcDd0g","Brunch Cafe","FALSE","https://www.yelp.com/biz/brunch-cafe-niles?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","106","Breakfast & Brunch","4.5","42.0399949","-87.8449323","$$","8780 Dempster St"
"M8uh-33oqL23gZoWQAPIhg","Via Roma","FALSE","https://www.yelp.com/biz/via-roma-des-plaines?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","233","Italian","4.5","42.04098","-87.889","$$","686 Lee St"
"YqvenOJIqldcsj3CUsGhbQ","Boston Fish Market","FALSE","https://www.yelp.com/biz/boston-fish-market-des-plaines-2?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","758","Seafood | Seafood Markets","4","42.0273777085666","-87.8927339243227","$$","1225 E Forest Ave"
"5ceWpBgL-At-x20NHq58Wg","Cafe Lucci","FALSE","https://www.yelp.com/biz/cafe-lucci-glenview-3?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","215","Italian","4","42.0669899","-87.84916","$$$","609 Milwaukee Ave"
"Awv4BXSgLUnE7B0zZbUzoA","Thalaivas Indian Kitchen","FALSE","https://www.yelp.com/biz/thalaivas-indian-kitchen-park-ridge-3?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","13","Indian","5","42.0095602448328","-87.8314223226969","","116 Main St"
"6Ea66viKKNGl7nQvuQdGNA","Mesa Urbana","FALSE","https://www.yelp.com/biz/mesa-urbana-northbrook-2?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","319","Bars | American (New) | Mexican","4","42.0884814241492","-87.8722538799047","$$","3566 Milwaukee Ave"
"nYMMHRHG0vitSaZOCjWWeg","Riobamba","FALSE","https://www.yelp.com/biz/riobamba-glenview-2?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","185","Tacos | Latin American","4.5","42.0892372","-87.7978096","$$","1869 Waukegan Rd"
"BH6N_MwxD6EfcWa66cN4AA","BBQ Garden","FALSE","https://www.yelp.com/biz/bbq-garden-niles?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","42","Korean | Barbeque","4.5","42.0557156630465","-87.8511070092147","$$","9020 W Golf Rd"
"ySR4zsqFedc_5IRsxVREUg","Boba Burger","FALSE","https://www.yelp.com/biz/boba-burger-morton-grove-2?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","329","Burgers | Asian Fusion | Bubble Tea","4.5","42.03651","-87.8","$","8530 Waukegan Rd"
"w91a9VtjbySkCAT0jiH9-w","Des Plaines Family Restaurant & Pancake House","FALSE","https://www.yelp.com/biz/des-plaines-family-restaurant-and-pancake-house-des-plaines?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","168","Breakfast & Brunch","4.5","42.0390921","-87.8810894","$","1769 Miner St"
"E7eppvEXzCP1b2qkv2mQSA","Sugar Bowl","FALSE","https://www.yelp.com/biz/sugar-bowl-des-plaines?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","190","Breakfast & Brunch","4","42.04154","-87.8866","$","1494 N Miner St"
"ALBJ4-TNvSDXXy0JNXDicg","Phô Town","FALSE","https://www.yelp.com/biz/ph%C3%B4-town-niles?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","27","Vietnamese","4.5","42.0399949","-87.8449815","$$","8788 W Dempster St"
"Jt_AwG4eeJvzfBMnbpgBqQ","Flight","FALSE","https://www.yelp.com/biz/flight-glenview?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","177","Wine Bars | American (New)","4","42.088182306258","-87.823688645157","$$","1820 Tower Dr"
"JKMQkWJejiIFi1iYOg1iSw","Cafe El Tapatio","FALSE","https://www.yelp.com/biz/cafe-el-tapatio-glenview?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","148","Mexican | Bars","4.5","42.0583809765695","-87.8404971838157","$$","9707 N Milwaukee Ave"
"bvA0-zdiYtWpjyM3ijG_9A","Pita Inn","FALSE","https://www.yelp.com/biz/pita-inn-glenview?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","529","Mediterranean | Middle Eastern","4.5","42.0598983764648","-87.8438186645508","$","9854 Milwaukee Ave"
"HPbzSpYxBSCDYGyJ76WbTg","El Bistro Latino","FALSE","https://www.yelp.com/biz/el-bistro-latino-des-plaines?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","192","Cuban | Mexican | Puerto Rican","4.5","42.0308983","-87.8933795","$$","1261 E Algonquin Rd"
"OFmArjD1NWR_29shxNeGEg","Taco Madre","FALSE","https://www.yelp.com/biz/taco-madre-niles?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","364","Mexican | Fast Food | Desserts","4","42.0546782","-87.8411689","$","8610 W Golf Rd"
"AFmOUpw0W5HU_2iIRok4YA","Sunrise Grill","FALSE","https://www.yelp.com/biz/sunrise-grill-des-plaines?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","221","American (Traditional) | Desserts | Salad","4","42.010365","-87.87643","$","1930 E Touhy Ave"
"8z2NqB7DZOiSixRF2iN8QQ","E+O Food and Drink","FALSE","https://www.yelp.com/biz/e-o-food-and-drink-mount-prospect?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","577","American (New) | Venues & Event Spaces | Caterers","4","42.0847584","-87.932395","$$","125 Randhurst Village Dr"
"6WfDAqlnnVuoAlShzQakbg","Omega Restaurant & Bakery","FALSE","https://www.yelp.com/biz/omega-restaurant-and-bakery-niles?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","491","Bakeries | American (Traditional) | Breakfast & Brunch","3.5","42.054547","-87.85257","$$","9100 W Golf Rd"
"XVNGlpIubrwmUtSLxqmxZw","The Sandlot","FALSE","https://www.yelp.com/biz/the-sandlot-park-ridge?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","221","American (Traditional) | Burgers","4.5","42.01104","-87.84036","$","1120 W Touhy Ave"
"lavnKxt3n0Si-5g96XN4XA","Joy Korea","FALSE","https://www.yelp.com/biz/joy-korea-niles?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","42","Korean","4.5","42.050466","-87.836815","$$","239 Golf Mill Ctr"
"JewNDPpSL_p_QVL8TxsRDA","Don's Dock Seafood","FALSE","https://www.yelp.com/biz/dons-dock-seafood-des-plaines?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","207","Seafood Markets | Seafood","4","42.04437","-87.89359","$$","1220 E Northwest Hwy"
