"ID","Name","Is_Closed","URL","Review_Count","Categories","Rating","Latitude","Longitude","Price","Address"
"epQ5Zk8OM9TV73T7-PYl_g","Boat House Pub & Eatery","FALSE","https://www.yelp.com/biz/boat-house-pub-and-eatery-fox-lake?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","26","Pizza | Pubs | American (Traditional)","3.5","43.57822","-88.92937","$","N10575 Chief Kuno Trl"
"YhL9K_F4pZWcgmnQHwQL_A","The Shores","FALSE","https://www.yelp.com/biz/the-shores-fox-lake?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","10","Steakhouses","2.5","43.57839","-88.92665","$$","N10604 Chief Kuno Trl"
"a709689PU5zCADyblYdKFg","Prime Steakhouse","FALSE","https://www.yelp.com/biz/prime-steakhouse-fox-lake?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","1","Steakhouses","3","43.57839","-88.92665","","The Shores Of Fox Lake"
"kWXSHiND6cxwBoh4OkixEA","Schaumburg Dinner Club","FALSE","https://www.yelp.com/biz/schaumburg-dinner-club-randolph?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","17","American (Traditional)","3.5","43.62915","-88.9616099","$$","N11935 County Rd A"
"ersd7YHegQbVXiLqhJbW3A","Denise's Cafe","FALSE","https://www.yelp.com/biz/denises-cafe-randolph?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","6","Breakfast & Brunch","4.5","43.5382766723633","-89.0054550170898","$","163 Stark St"
"Y8n8nkuqQ_8OmCUzD5arWQ","The Wharf","FALSE","https://www.yelp.com/biz/the-wharf-fox-lake?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","7","Seafood","2.5","43.56631","-88.90899","$","221 W State St"
"41JAjrkyMHhV9S97RSnzVA","Feil's Supper Club","FALSE","https://www.yelp.com/biz/feils-supper-club-randolph?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","38","German | American (Traditional)","4","43.51098","-89.00079","$$","N8743 State Rd 73"
"wciAXgtpq28NWKRnLGMPoA","Mullin's Drive In","FALSE","https://www.yelp.com/biz/mullins-drive-in-fox-lake?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","15","Burgers","4","43.5656051635742","-88.9062042236328","$","102 Spring St"
"5wW39Y_lGtqFBceXpnhSVg","Quit N Time","FALSE","https://www.yelp.com/biz/quit-n-time-fox-lake?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","1","Bars | American (Traditional)","5","43.566192","-88.910179","","317 W State St"
"dqxYSwdQX-DMOaXMq6Pq9w","State Street Pizza","FALSE","https://www.yelp.com/biz/state-street-pizza-fox-lake?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","4","Pizza","5","43.56618","-88.91031","","319 W State St"
"XdzgVm3ob5WJ66jmRUcEvw","Chalet of Fox Lake","FALSE","https://www.yelp.com/biz/chalet-of-fox-lake-fox-lake?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","7","Restaurants","2.5","43.5666455","-88.9215783","$","814 W State St"
