"ID","Name","Is_Closed","URL","Review_Count","Categories","Rating","Latitude","Longitude","Price","Address"
"UKVLQ62-Lo7m1gqyEX1XNQ","Chef's Hat","FALSE","https://www.yelp.com/biz/chefs-hat-ephraim?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","113","American (New) | Breakfast & Brunch | Burgers","4","45.1561807022624","-87.171487567792","$$","3063 Church St"
"zQVy4JssKacaqEz_5nAy5Q","Old Post Office Restaurant","FALSE","https://www.yelp.com/biz/old-post-office-restaurant-ephraim?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","90","Seafood | Breakfast & Brunch","4","45.158657","-87.171516","$$","10040 Water Hwy 42"
"yj09dR_8TS2eOKMRMV4sRw","Good Eggs","FALSE","https://www.yelp.com/biz/good-eggs-ephraim?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","95","Breakfast & Brunch","4.5","45.14829","-87.17873","$","9820 Brookside Ln"
"n74ylEByAAY6e2b87FiiAg","Alexander's","FALSE","https://www.yelp.com/biz/alexanders-fish-creek?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","71","Breakfast & Brunch | Seafood | Steakhouses","4","45.13379","-87.21065","$$$","3667 Hwy 42"
"C2Y1JbJ_JQ6vGoDzpLIdOg","Czarnuszka Soup Bar","FALSE","https://www.yelp.com/biz/czarnuszka-soup-bar-ephraim?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","26","Soup","4.5","45.151595","-87.170702","$","9928 Water St"
"ERsOWw6QZGa9hVGdg3H_fw","The English Inn","FALSE","https://www.yelp.com/biz/the-english-inn-fish-creek?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","100","American (New) | Seafood | Venues & Event Spaces","3.5","45.1326212","-87.2128479","$$$","3713 Wisconsin 42"
"YoXHeLIki3i2Na1jVdbgvQ","Wilson's Restaurant & Ice Cream Parlor","FALSE","https://www.yelp.com/biz/wilsons-restaurant-and-ice-cream-parlor-ephraim?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","145","Ice Cream & Frozen Yogurt | Burgers | Sandwiches","4","45.15567","-87.17063","$","9990 Water St"
"Qxu5kOW9y8jRwP7JMcP9gQ","Parador","FALSE","https://www.yelp.com/biz/parador-egg-harbor?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","117","Tapas/Small Plates","4.5","45.05109","-87.28097","$$","7829 State Hwy 42"
"wb54lle8keA5wMYX-ft2FQ","The Harbor View Grill","FALSE","https://www.yelp.com/biz/the-harbor-view-grill-egg-harbor?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","39","American (Traditional)","3.5","45.0494709","-87.281073","$$","7821 Horseshoe Bay Rd"
"c0eOkybHsLHzL4fS47pp3w","Village Cafe","FALSE","https://www.yelp.com/biz/village-cafe-egg-harbor?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","101","Breakfast & Brunch | Cafes","3.5","45.055942","-87.2800458","$$","7918 State Hwy 42"
"8jNQ77veY50B69BaGjyLIg","MacReady Artisan Bread Company","FALSE","https://www.yelp.com/biz/macready-artisan-bread-company-egg-harbor?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","43","Bakeries | Sandwiches","4.5","45.0514252","-87.2806031","$$","7838 Hwy 42"
"PasR1xZ9pM0zPtRFAqX5Hg","Shipwrecked","FALSE","https://www.yelp.com/biz/shipwrecked-egg-harbor?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","151","American (Traditional)","3","45.049248","-87.280492","$$","7791 State Hwy 42"
"Y3HFzL4FbO6vOc81C92T5Q","Casey's BBQ & Smokehouse","FALSE","https://www.yelp.com/biz/caseys-bbq-and-smokehouse-egg-harbor?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","107","Barbeque","3.5","45.05221","-87.2812","$$","7855 Hwy 42"
"Kg-B9WR8CLi_7-0-JkHlJA","The Bistro at Liberty Square","FALSE","https://www.yelp.com/biz/the-bistro-at-liberty-square-egg-harbor?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","69","American (New) | Italian | Breakfast & Brunch","3","45.0496338843729","-87.2801113128662","$$","7755 State Highway 42"
"5O4Q29gJPD8S6cCKgdF3wg","Greens N Grains Natural Foods Market & Café","FALSE","https://www.yelp.com/biz/greens-n-grains-natural-foods-market-and-caf%C3%A9-egg-harbor?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","22","Health Markets | Grocery | Cafes","4.5","45.050609588623","-87.2809829711914","$$","7821 State Hwy 42"
"Dx0d0c1IVvHug-gL3TN--w","Galileo's Italian Food","FALSE","https://www.yelp.com/biz/galileos-italian-food-egg-harbor?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","25","Italian | Wine Bars","3.5","45.04808","-87.27919","$$","7755  State Hwy 42"
"Rym59ePDXrsTSn_hOsniAQ","Carrington Pub & Grill","FALSE","https://www.yelp.com/biz/carrington-pub-and-grill-egg-harbor?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","31","American (Traditional) | Pubs","3","45.04227","-87.29711","$$","7643 Hillside Rd"
"kTjxBJLZDzwXv_emJaCmHQ","Mojo Rosa's","FALSE","https://www.yelp.com/biz/mojo-rosas-egg-harbor?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","84","Pizza | Mexican | Burgers","3","45.0493184","-87.2793763","$$","7778 State Hwy 42"
"mSTU_HC8RZDC_2TNX7vvgg","The Chicken Coop","FALSE","https://www.yelp.com/biz/the-chicken-coop-egg-harbor?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","3","Salad | Food | Sandwiches","4","45.0496064438264","-87.2807288445586","$","7821 Horseshoe Bay Rd"
"6gF08BvcS_e_bxoSBgKu9w","Hof Restaurant","FALSE","https://www.yelp.com/biz/hof-restaurant-egg-harbor?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","3","American (Traditional)","3","45.0447273254395","-87.2895278930664","$$","7715 Alpine Rd"
"lQRUf8GO0r5ndVzKQ2oiEA","The Villiage Cafe","FALSE","https://www.yelp.com/biz/the-villiage-cafe-egg-harbor?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","1","Restaurants","1","45.05653","-87.27974","","Hwy 42"
"YsTWaoP4Bh925dhzpYB1dQ","Alpine Resort & Golf Course","FALSE","https://www.yelp.com/biz/alpine-resort-and-golf-course-egg-harbor?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","4","Hotels | Restaurants | Golf","3.5","45.0448837280273","-87.2943649291992","$$","7670 County Road G"
"WJAO9bJYMUIk049VDKTa7A","The Cookery Restaurant & Wine Bar","FALSE","https://www.yelp.com/biz/the-cookery-restaurant-and-wine-bar-fish-creek-2?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","233","American (New) | Wine Bars | Breakfast & Brunch","4","45.127039","-87.244685","$$","4135 Hwy 42"
"Nfs0jKSKOX6vgv1iuefsvQ","Blue Horse Beach Cafe","FALSE","https://www.yelp.com/biz/blue-horse-beach-cafe-fish-creek?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","123","Sandwiches | Coffee & Tea | Breakfast & Brunch","4.5","45.1268810420346","-87.2432255744934","$","4113 Main St"
"i9b2qEU9I624AXMBBkr5nQ","The Whistling Swan","FALSE","https://www.yelp.com/biz/the-whistling-swan-fish-creek?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","61","Hotels | Bed & Breakfast | American (New)","4.5","45.1282883","-87.2479706","$$$","4192 Main St"
"gWGpLn2dAcVMtn97mKqC9A","Wild Tomato Wood-Fired Pizza and Grille","FALSE","https://www.yelp.com/biz/wild-tomato-wood-fired-pizza-and-grille-fish-creek?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","425","Burgers | Pizza","4.5","45.1253089308046","-87.2368709767235","$$","4023 State Hwy 42"
"FUoq8UMOgneT8tLP225bhg","Barringer's Restaurant","FALSE","https://www.yelp.com/biz/barringers-restaurant-fish-creek?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","41","Steakhouses | Seafood | Cocktail Bars","4.5","45.12884","-87.24624","$$$","1 N Spruce St"
"Y6T4xv8N5Ak2YpGnDnc4wA","White Gull Inn","FALSE","https://www.yelp.com/biz/white-gull-inn-fish-creek?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","209","Bed & Breakfast | American (Traditional)","4","45.1282157897949","-87.2500991821289","$$","4225 Main St"
"Gf8Ct8r_yNgPEmae2I5w0Q","Gibraltar Grill","FALSE","https://www.yelp.com/biz/gibraltar-grill-fish-creek?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","79","Bars | Salad | American (Traditional)","3.5","45.12524","-87.23429","$$","3993 Main St"
"WEWelY0QsXMcz78WJ2BreA","Mr Helsinki","FALSE","https://www.yelp.com/biz/mr-helsinki-fish-creek?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","55","American (New) | Wine Bars","4","45.1279182","-87.2460709","$$","4164 Main St"
"sampHTxY0NYz5wlTLfrwrw","Juniper's Gin Joint","FALSE","https://www.yelp.com/biz/junipers-gin-joint-fish-creek?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","61","Cocktail Bars | American (New)","2.5","45.1279496954728","-87.2468514392914","$$","4170 Main St"
"0T0yjYxGdciKk4T2YYpm8w","Julie's Park Cafe & Motel","FALSE","https://www.yelp.com/biz/julies-park-cafe-and-motel-fish-creek-5?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","126","Cafes | Breakfast & Brunch","4","45.125965","-87.236276","$$","4020 Main St"
"F9SWw_5hOqFhbjI_yM3zjA","Pelletier's Restaurant & Fish Boil","FALSE","https://www.yelp.com/biz/pelletiers-restaurant-and-fish-boil-fish-creek?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","94","Seafood | American (Traditional)","3.5","45.1277423","-87.2472693","$$","4199 Main St"
"MG3Xw7czhaO39my9jRLoGA","Bay Side Tavern","FALSE","https://www.yelp.com/biz/bay-side-tavern-fish-creek?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","77","Pizza | Bars","4","45.1278305","-87.2459335","$$","4160 Main St"
"M2i82OEbuJ7jGSONqOW00A","Glacier Ledge","FALSE","https://www.yelp.com/biz/glacier-ledge-egg-harbor?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","20","American (New) | Diners | Tapas/Small Plates","4.5","45.06401","-87.26821","$$","8103 Hwy 42 N"
"vkNdyWpJ4d-VKx5aPQsakg","Fish Creek Grill","FALSE","https://www.yelp.com/biz/fish-creek-grill-fish-creek-2?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","58","Mexican | American (Traditional) | Breakfast & Brunch","3.5","45.12551","-87.22941","$$","3931 State Hwy 42"
"qeJCm5XQQL3wMSq4_OEgIQ","Greenwood Supper Club","FALSE","https://www.yelp.com/biz/greenwood-supper-club-fish-creek?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","43","American (Traditional)","3.5","45.1126286387444","-87.1940854936838","$$","9087 County Rd A"
"Ej5o71QBHbDNtfWkEXI7wg","Not Licked Yet","FALSE","https://www.yelp.com/biz/not-licked-yet-fish-creek-2?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","93","Ice Cream & Frozen Yogurt | Desserts | Sandwiches","4","45.12612","-87.2383","$","4054 Main St"
"gL6qH7RBTyr7OegdXFYuqw","P C Junction","FALSE","https://www.yelp.com/biz/p-c-junction-baileys-harbor?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","39","American (Traditional)","4","45.053998","-87.193157","$$","7898 County Rd A"
"dXYER6WNSzNEe5jLJElXZg","Villaggios","FALSE","https://www.yelp.com/biz/villaggios-fish-creek?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","35","Pizza | Italian","3","45.0840034484863","-87.2506942749023","$$","4240 Juddville Rd"
"3P0-gOUEjp9uEMmaRtAJ0Q","Fish Creek Market","FALSE","https://www.yelp.com/biz/fish-creek-market-fish-creek?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","9","Grocery | Delis | Sandwiches","3.5","45.1276863","-87.2459479","$$","4164 Main St"
"TYvr0EKwaXmxsVLz7PjwtQ","Taco Cerveza","FALSE","https://www.yelp.com/biz/taco-cerveza-fish-creek?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","5","Tacos","4","45.1274457476538","-87.2453819507822","","4149 State Hwy 42"
"NRl8EHE6wtsFEUbAd536Yg","Peltier's","FALSE","https://www.yelp.com/biz/peltiers-fish-creek?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","4","Seafood","3.5","45.12764","-87.24793","$$","4199 Main St"
"ZuppaA_DmCLFyNMHBKasxg","John Henry's","FALSE","https://www.yelp.com/biz/john-henrys-egg-harbor?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","1","American (Traditional) | Burgers","4","45.05502","-87.25757","","4320 County Rd E"
"RfDQbjLDDsNnMKBbgroLMA","Pizza Czar","FALSE","https://www.yelp.com/biz/pizza-czar-baileys-harbor?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","2","Pizza","5","45.0540009","-87.1931763","","7898 County Rd A"
"oUsM8Lcle-f4_KY7O2ozhg","The Fireside Restaurant","FALSE","https://www.yelp.com/biz/the-fireside-restaurant-ellison-bay?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","114","American (New) | Bars | Seafood","4.5","45.2527373763614","-87.0739544331122","$$","11934 Hwy 42"
"Qb-9Xdf-cQmv9nPeB53wcQ","Wickman House","FALSE","https://www.yelp.com/biz/wickman-house-ellison-bay?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","173","American (New) | Bars","4.5","45.2532895365696","-87.069502","$$$","11976 Mink River Rd"
"z2kK7grtFSbfpP6scU1oAQ","Waterfront Restaurant","FALSE","https://www.yelp.com/biz/waterfront-restaurant-sister-bay?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","75","American (New) | Seafood | Italian","4.5","45.2023436","-87.1191482","$$$","10961 State Hwy 42"
