"ID","Name","Is_Closed","URL","Review_Count","Categories","Rating","Latitude","Longitude","Price","Address"
"JquA7DFFjd1Gf0T6VNDuWA","Y Not Here","FALSE","https://www.yelp.com/biz/y-not-here-long-lake?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","2","Seafood","3","46.02567","-88.84963","","8416 County Road A"
"byQF8GaWOVvwzZl6uAbaAQ","Pine Lake Pub & Cafe","FALSE","https://www.yelp.com/biz/pine-lake-pub-and-cafe-argonne?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","1","Pubs | Burgers","5","45.7019808334195","-88.9767077565193","","10735 W Pine Lake Rd"
"Fs7hOlDruq6VfnwT-5LD2g","Wooden Nickel Pub and Grill","FALSE","https://www.yelp.com/biz/wooden-nickel-pub-and-grill-iron-river?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","15","Pubs | American (Traditional)","5","46.1266022","-88.7028732","$$","461 Gibbs City Rd"
"ELUxWd6NlFt0rkvFowwzyQ","Main Street Ed's","FALSE","https://www.yelp.com/biz/main-street-eds-argonne?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","14","American (New) | Bars | Pizza","4.5","45.658991","-88.8762105","$$","7909 Main St"
"19jdA9KwjjEFQBfMIS2WGw","Snipe Lake Pub & Grill","FALSE","https://www.yelp.com/biz/snipe-lake-pub-and-grill-iron-river-2?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","4","Bars | Pizza | Sandwiches","3.5","46.0484021727359","-88.7137259060732","","675 Baumgartner Rd"
"6pKta6J7Odkz2cjJ6keCGw","CJs Bar","FALSE","https://www.yelp.com/biz/cjs-bar-argonne?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","1","Dive Bars | American (New)","5","45.7415796368503","-88.69655213746","","10201 Hwy 139"
"D1ZqAH2uA3pGgAbH6Mjvvw","Kathy's Inn Bar & Grill","FALSE","https://www.yelp.com/biz/kathys-inn-bar-and-grill-argonne?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","1","Nightlife | Pizza","1","45.659366607666","-88.8761672973633","","7915 Main St"
"siDflXd-ftqZKMMq0iitXw","Main Street Cafe","FALSE","https://www.yelp.com/biz/main-street-cafe-iron-river?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","9","Breakfast & Brunch | American (Traditional)","4.5","46.0913951","-88.6417871","$","321 W Genesee St"
"wJOcrbuO-sfd6h6fzOeV_g","Zippidy Duda","FALSE","https://www.yelp.com/biz/zippidy-duda-iron-river?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","8","American (Traditional) | Seafood | Italian","4","46.0916549","-88.6404662","$$","202 W Genesee St"
"RIbzZwsDCVT9kQzIuCbrCw","Alice's","FALSE","https://www.yelp.com/biz/alices-iron-river?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","25","Italian","4","46.0925349","-88.6427476","$$","402 W Adams St"
"XH0P5Bf0dFF1t75tZmFo8w","The Pasty Corner","FALSE","https://www.yelp.com/biz/the-pasty-corner-iron-river?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","16","American (Traditional)","4.5","46.0923886299133","-88.6477126926184","$","825 W Adams St"
"ObFU08I7zxpTWMQywtrXmQ","Riverside Bar & Pizzeria","FALSE","https://www.yelp.com/biz/riverside-bar-and-pizzeria-iron-river?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","29","Pizza | Bars","4","46.0913194","-88.6339896","$$","98 E Genesee St"
"ZNmtQqzEo0f74KZSOHmT7w","Outer Limits","FALSE","https://www.yelp.com/biz/outer-limits-iron-river?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","6","American (Traditional) | Beer Bar | Pizza","4","46.0914699733257","-88.6396600306034","$$","101 W Genese"
"_xvA8vH4rSeGynteTo9ZQA","The STAND","FALSE","https://www.yelp.com/biz/the-stand-iron-river?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","9","Hot Dogs | Ice Cream & Frozen Yogurt | Food Stands","4","46.0978312144572","-88.6257440560213","$","512 Lalley Rd"
"OSQgQVoKfqANWCbu8215VA","Kermit's Pizza, Pub & Grill","FALSE","https://www.yelp.com/biz/kermits-pizza-pub-and-grill-iron-river?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","10","Pizza | Pubs","3.5","46.0839524120092","-88.6335150897503","$$","500 Washington Ave"
"NA3uOKyNVDVyW4dNgLF0iA","Mr T's Family Restaurant","FALSE","https://www.yelp.com/biz/mr-ts-family-restaurant-iron-river?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","16","Pizza","4","46.0968050300272","-88.6285972595215","$$","3599 US Hwy 2"
