"ID","Name","Is_Closed","URL","Review_Count","Categories","Rating","Latitude","Longitude","Price","Address"
"7IACwdQe2zpe8fZ9T4iIpA","Spring Lake Inn","FALSE","https://www.yelp.com/biz/spring-lake-inn-prairie-du-chien?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","16","Diners | Bars | American (New)","4.5","43.1244884167767","-91.141505241394","$$","64040 County Rd N"
"7G9Cgyau0XwpJmTYzzLehA","Simply Coffeehouse & Eatery","FALSE","https://www.yelp.com/biz/simply-coffeehouse-and-eatery-prairie-du-chien?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","39","Cafes","5","43.05134","-91.148","$","204 W Blackhawk Ave"
"B3i1toP3DeNLAIeaXqFyfQ","The Barn Restaurant","FALSE","https://www.yelp.com/biz/the-barn-restaurant-prairie-du-chien?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","6","Lounges | Venues & Event Spaces | Seafood","4.5","43.09411","-91.14538","$$","32800 County Rd K"
"qW-ZgRrL6Vip968e6yq3cA","Jones' Black Angus","FALSE","https://www.yelp.com/biz/jones-black-angus-prairie-du-chien?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","50","Steakhouses","4.5","43.022943","-91.118797","$$","37640 US 18"
"syoh1rvu35ZP90epvq6LGw","Ft Mulligan's Grillpub","FALSE","https://www.yelp.com/biz/ft-mulligans-grillpub-prairie-du-chien?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","53","American (New) | Pubs","3.5","43.05133","-91.14846","$$","214 W Blackhawk Ave"
"j_P219UboqIm-UsUVvBZog","Huckleberry's Restaurant","FALSE","https://www.yelp.com/biz/huckleberrys-restaurant-prairie-du-chien-2?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","16","American (Traditional) | Venues & Event Spaces | Breakfast & Brunch","3.5","43.02917","-91.12719","$","1916 S Marquette Rd"
"u483BJ4gBKR36xvrzLEakQ","The Dawg House","FALSE","https://www.yelp.com/biz/the-dawg-house-lynxville?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","3","American (Traditional)","5","43.246809","-91.057728","","122 Main St"
"aUtdmBylf3l2UDzZqn4uDw","Winneshiek Marina","FALSE","https://www.yelp.com/biz/winneshiek-marina-prairie-du-chien?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","3","Burgers","1.5","43.12357","-91.0983399","","32785 County Rd"
"INqKWfPdnkV4Tea4tR5BwA","La Michoacana Market","FALSE","https://www.yelp.com/biz/la-michoacana-market-eastman?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","1","Mexican","4","43.1635484844446","-91.018887385726","","207 Main St"
"RyGaE739CKjwAeyQ8j6J7g","Pete's Hamburgers","FALSE","https://www.yelp.com/biz/petes-hamburgers-prairie-du-chien?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","24","Burgers | Food Stands","4","43.05136","-91.14735","$","118 W Blackhawk Ave"
