"ID","Name","Is_Closed","URL","Review_Count","Categories","Rating","Latitude","Longitude","Price","Address"
"9RQcno8deRRaIN_PAzyjOg","Bear Trap Inn","FALSE","https://www.yelp.com/biz/bear-trap-inn-saxon?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","1","Restaurants","3","46.49718","-90.4491","","106 Main"
"UrJ4bIBNGKQ_wB-cpU8_dA","The Kimball Inn","FALSE","https://www.yelp.com/biz/the-kimball-inn-hurley?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","38","American (New) | Seafood | Burgers","4.5","46.4911738606134","-90.2620586610136","$$","6622 W US Hwy 2"
"06VMIY6Bv_2OJVQXGgEA6Q","Burgers Bar & Grill","FALSE","https://www.yelp.com/biz/burgers-bar-and-grill-montreal?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","26","Burgers","4.5","46.430067","-90.2249672","$$","7 Nimikon"
"dIdsFQYmX6UK87krdVn93w","Joany's Sidekicks","FALSE","https://www.yelp.com/biz/joanys-sidekicks-iron-belt?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","4","American (New)","4","46.4010394","-90.316826","$$","Hwy 77"
"Y9slNayHQYJKuPVdCaFe2w","Squeak's Bar & Restaurant","FALSE","https://www.yelp.com/biz/squeaks-bar-and-restaurant-montreal?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","1","Restaurants","5","46.4265791326761","-90.2581136673689","$","164 Wisconsin Ave"
"Ttc-T4yQyV8TQqmhbAki-g","Burgers Bar and Grill","FALSE","https://www.yelp.com/biz/burgers-bar-and-grill-montreal-2?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","1","Bars | American (New) | Burgers","2","46.430804","-90.224611","","7 Nimikon St"
"Fjo8iBVZO0F9KHPPGhPFaw","Cary Mine Convenience","FALSE","https://www.yelp.com/biz/cary-mine-convenience-hurley?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","2","Pizza | Convenience Stores","5","46.4372444152832","-90.2146911621094","","603 Cary Rd"
"hpX53mQu7lx1jWNm53hVfw","Olde Suffolk Ale House","FALSE","https://www.yelp.com/biz/olde-suffolk-ale-house-ironwood?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","15","American (Traditional) | Bars | Italian","4","46.4549702","-90.1691264","$$","125 S Suffolk St"
"rh7OX0AqBzlKL07Fh7aE_w","The Pines Cafe","FALSE","https://www.yelp.com/biz/the-pines-cafe-ironwood?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","21","Diners | Breakfast & Brunch","4.5","46.4551553875208","-90.1690274477005","$","120 S Suffolk St"
"IP1WoXSroXTx1d80M1k6sQ","Liberty Bell Chalet","FALSE","https://www.yelp.com/biz/liberty-bell-chalet-hurley-2?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","61","Italian","4","46.4493099","-90.18579","$$","109 5th Ave S"
