"ID","Name","Is_Closed","URL","Review_Count","Categories","Rating","Latitude","Longitude","Price","Address"
"FEZVsWTdO6oTGrMySjEhog","The Grist Bar & Table","FALSE","https://www.yelp.com/biz/the-grist-bar-and-table-lake-mills?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","37","American (Traditional) | Bars | Desserts","4","43.0796","-88.91291","$$","103 South Main St"
"q4ruL-NZ8T_D1VkjNrQ2ug","Crawfish Junction","FALSE","https://www.yelp.com/biz/crawfish-junction-johnson-creek?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","54","Bars | Burgers | Seafood","4","43.100925","-88.849227","$$","W6376 County Rd A"
"r1stgbyz4KS5bBtFCiEx4g","Zephyr Cafe","FALSE","https://www.yelp.com/biz/zephyr-cafe-lake-mills?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","7","Diners | Breakfast & Brunch | Cafes","3.5","43.09612","-88.909101","$","N6919 State Rd 89"
"fMxWirVbiNVUk-hPKWsdmw","Water House Foods","FALSE","https://www.yelp.com/biz/water-house-foods-lake-mills?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","41","Bakeries | Coffee & Tea | Cafes","4","43.0793301133243","-88.9093843866705","$$","132 E Lake St"
"obiC4B02-b_syDRIXCHUfA","Brickhaus Café","FALSE","https://www.yelp.com/biz/brickhaus-caf%C3%A9-jefferson-2?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","48","Cafes | Beer, Wine & Spirits | Breakfast & Brunch","4.5","43.0041","-88.80644","$","126 E Milwaukee St"
"BLYC7z7bV6d2rIfgXWpQfw","Blue Moon","FALSE","https://www.yelp.com/biz/blue-moon-lake-mills?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","29","Pizza","4","43.07925","-88.9129899","$$","117 S Main St"
"iNrzdBqe36kzO4KfoXe7og","Anne's Cafe on the Park","FALSE","https://www.yelp.com/biz/annes-cafe-on-the-park-lake-mills?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","20","Breakfast & Brunch | Cafes","3.5","43.08051","-88.91252","$","131 N Main St"
"_KG091QlPTgJXb649LzAJA","Hering's Sand Bar and Grill","FALSE","https://www.yelp.com/biz/herings-sand-bar-and-grill-lake-mills?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","8","Bars | American (New)","3","43.0658464","-88.9257405","$$","345 Sandy Beach Rd"
"IuXJYK-1Q8bGCZXP4VSr6g","Lewis Station Winery","FALSE","https://www.yelp.com/biz/lewis-station-winery-lake-mills-2?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","20","Wine Tasting Room | Wine Tasting Classes | Tapas/Small Plates","4","43.0812","-88.91208","$$","217 N Main St"
"esI0T3_FFTlja_7c8VTT6g","Milford Hills Hunt Club","FALSE","https://www.yelp.com/biz/milford-hills-hunt-club-johnson-creek-2?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","13","American (New) | Gun/Rifle Ranges | Venues & Event Spaces","4.5","43.1349549","-88.8108734","$$","W5670 French Rd"
"Gn9swT0vn3XY31qP-_euWQ","Aztalan Inn Bar & Grill","FALSE","https://www.yelp.com/biz/aztalan-inn-bar-and-grill-lake-mills?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","17","Bars | American (Traditional) | Seafood","3.5","43.0729962505168","-88.8621754745026","$$","W6630 County Rd"
"KfZ_45_5tQ-HgekzNdUsyw","El Mariachi Mexican Restaurant","FALSE","https://www.yelp.com/biz/el-mariachi-mexican-restaurant-lake-mills?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","36","Mexican | Seafood","4","43.08137","-88.9113","$$","102 E Madison St"
"PTjtu-14Jq78IdpeUTpIsw","The Herons Landing","FALSE","https://www.yelp.com/biz/the-herons-landing-jefferson?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","25","American (Traditional)","4","43.0043178","-88.8100078","$$","200 W Milwaukee St"
"lGkWai2mkcIVCY4dcDXsEw","Jefferson Cafe","FALSE","https://www.yelp.com/biz/jefferson-cafe-jefferson?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","8","American (Traditional) | American (New) | Breakfast & Brunch","4.5","43.005393","-88.801956","$","339 E Racine St"
"k17SLaSoGCCC0lHMyD9krQ","Hering's Lake Ripley Inn","FALSE","https://www.yelp.com/biz/herings-lake-ripley-inn-cambridge?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","12","Burgers | American (Traditional)","4.5","42.993697","-88.975807","$$","4103 County Rd A"
"bvAnLq7y_HykmlNI8KHN6A","Doyle's Dogs","FALSE","https://www.yelp.com/biz/doyles-dogs-lake-mills?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","4","Hot Dogs","4.5","43.0793724060059","-88.9077987670898","","337 E Lake St"
"FYyWSHnZZ9erv9vB98VNRg","Cindy Lou's Cafe","FALSE","https://www.yelp.com/biz/cindy-lous-cafe-waterloo?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","2","Cafes","3.5","43.186924","-88.977646","","336 Portland Rd"
"4-LrHi0KxGzDwBj5VH1qpg","Ming's Garden","FALSE","https://www.yelp.com/biz/mings-garden-lake-mills?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","13","Chinese","3.5","43.08003","-88.91295","$","113 W Lake St"
"SLhmOd1Rl1aPmdN7GOMoBw","Rock Bottom Saloon & Eatery","FALSE","https://www.yelp.com/biz/rock-bottom-saloon-and-eatery-jefferson?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","5","Sports Bars | Burgers | Seafood","4","43.00409","-88.80846","$","211 S Gardner Ave"
"9zaoNjDOQmNoZlwQzyx75Q","Wedl's Hamburger Stand and Ice Cream Parlor","FALSE","https://www.yelp.com/biz/wedls-hamburger-stand-and-ice-cream-parlor-jefferson-2?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","61","Burgers | Sandwiches","4.5","43.0051203","-88.8056845","$","200 E Racine St"
"1wlDf2Kg7OorU4l6EGsC0g","Timber Creek Pizza","FALSE","https://www.yelp.com/biz/timber-creek-pizza-lake-mills?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","17","Pizza | Ice Cream & Frozen Yogurt | Sandwiches","3","43.0793283242038","-88.9093722756566","$$","134 E Lake St"
"FOo_F_nsXL20VC8t_LBw_A","Moe's Place","FALSE","https://www.yelp.com/biz/moes-place-lake-mills-2?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","1","Restaurants","4","43.09199","-88.9186","","N6810 County Road B"
"oFvc82heULbPHLThzlILhg","McDonald's","FALSE","https://www.yelp.com/biz/mcdonalds-lake-mills?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","15","Burgers | Fast Food | Coffee & Tea","2.5","43.0901695045065","-88.9086131751537","$","111 E Tyranena Pk Rd"
"krL-I0ftu79EjTgsOeiLrQ","Wayside Inn","FALSE","https://www.yelp.com/biz/wayside-inn-jefferson?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","12","American (Traditional)","4","43.001927","-88.804776","$$","W4820 US Hwy 18"
"0fv0mcdIbx0zZnycybOBNA","Castle Rock Family Restaurant","FALSE","https://www.yelp.com/biz/castle-rock-family-restaurant-lake-mills?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","1","American (Traditional)","1","43.08594","-88.90003","","962 Mulberry St"
"xrgpFM9i1ZipbC60m-pznw","The Sports Page Bar and Grill","FALSE","https://www.yelp.com/biz/the-sports-page-bar-and-grill-cambridge?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","10","American (Traditional) | Pizza | Sports Bars","4","42.987793","-88.978655","$$","W9535 Us Hwy 12"
"zowcHiyqNt25fKoQYPo9yg","Urban's Place","FALSE","https://www.yelp.com/biz/urbans-place-jefferson?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","7","Breakfast & Brunch","3.5","43.00392","-88.80757","$","221 S Main St"
"iLUb4SGG8W5brz2iy9F8yA","Pizza Pit","FALSE","https://www.yelp.com/biz/pizza-pit-lake-mills?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","7","Pizza | Chicken Wings | Sandwiches","3.5","43.0899225","-88.9102153","$","W7655 County Rd V"
"kzsV2EvRhS6n3PSzv4bXtA","Jimmy John's","FALSE","https://www.yelp.com/biz/jimmy-johns-lake-mills?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","2","Delis | Sandwiches | Fast Food","2","43.0896831303835","-88.9073813706636","$","148 E Tryanena Rd"
"DeFigVlFJKN70LGGMLPyYQ","China Town","FALSE","https://www.yelp.com/biz/china-town-jefferson?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","4","Chinese | Soup","4.5","42.99116","-88.8087199","$","141 Collins Rd"
"a54haAalVXTj8dlmALM61g","Culvers","FALSE","https://www.yelp.com/biz/culvers-lake-mills?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","2","Fast Food | Burgers | Ice Cream & Frozen Yogurt","5","43.090075659243","-88.9115641565479","","190 Tyranena Park Rd"
"WvNYkgYDyiuZlwdqN2bjaA","4 Sisters Family Restaurant","FALSE","https://www.yelp.com/biz/4-sisters-family-restaurant-jefferson?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","4","Diners","2","42.99124","-88.8092099","$","155 Collins Rd"
"Xm9omYi4I06FOhLCKHdclA","Rocha's Mexican Restaurant","FALSE","https://www.yelp.com/biz/rochas-mexican-restaurant-jefferson?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","2","Mexican","4.5","43.00465","-88.80757","","135 S Main St"
"kTawo_ZwVE_gIcwSZcTQ_w","The Corner","FALSE","https://www.yelp.com/biz/the-corner-jefferson?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","10","Burgers","3","42.99888","-88.80714","$","718 S Main St"
