"ID","Name","Is_Closed","URL","Review_Count","Categories","Rating","Latitude","Longitude","Price","Address"
"FEWg7MXzfk82z9utascmYw","Reel Inn","FALSE","https://www.yelp.com/biz/reel-inn-necedah?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","4","Restaurants","2.5","43.9940987","-90.0732574","","N9671 State Road 80"
"Er1P6P31-hEGOuU-Jqffwg","Anjero's","FALSE","https://www.yelp.com/biz/anjeros-necedah?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","1","Pizza","5","43.947979","-90.012001","","N8414 County Road G"
"D69xQR2cAbRpzoaL76R-Uw","Squirrel-Es Bar & Grill","FALSE","https://www.yelp.com/biz/squirrel-es-bar-and-grill-camp-douglas?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","14","American (Traditional) | Bars","4.5","43.9204727","-90.270214","$","120 Main St"
"moPowQ8zFniFZR9U7quSZw","Home Front Travel Mart & Restaurant","FALSE","https://www.yelp.com/biz/home-front-travel-mart-and-restaurant-camp-douglas?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","3","Diners | Convenience Stores","3.5","43.9218","-90.26564","$","200 US Hwy 12 & 16"
"GRcVo2s4tdhTRONXOaedJQ","Quiznos","FALSE","https://www.yelp.com/biz/quiznos-camp-douglas-2?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","1","Fast Food | Sandwiches","1","43.9247956126928","-90.2749666571617","","200 US Highway 12"
"1zg3CCNx-mwWa4eDjetE-g","Eagle's Nest Resort","FALSE","https://www.yelp.com/biz/eagles-nest-resort-camp-douglas?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","2","Hotels | Restaurants","3.5","44.0702477","-90.282692","","N11770 County Road H"
"5yy80G41WKItYPCRStkBiw","T Nc Pizza","FALSE","https://www.yelp.com/biz/t-nc-pizza-camp-douglas?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","1","Restaurants","5","43.8793411254883","-90.2706069946289","","116 E Main St"
"DM_WKbcEGHdjbqGAcUtASQ","Little Crane Cafe","FALSE","https://www.yelp.com/biz/little-crane-cafe-necedah?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","18","Breakfast & Brunch | Burgers | Cafes","4.5","44.0134174","-90.0666913","$","1111 S Main St"
"KTEhEclf0B1uADf6zM8jIA","Clearfield Pub & Grille","FALSE","https://www.yelp.com/biz/clearfield-pub-and-grille-new-lisbon?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","4","Sports Bars | American (Traditional)","4.5","43.912685","-90.124917","","N7405 State Road 80"
"Zo5x2U2Tq0OZ_qdVia2bVA","Dirty Turtle","FALSE","https://www.yelp.com/biz/dirty-turtle-new-lisbon-2?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","20","American (New)","3.5","43.913237","-90.031817","$","W5250 N Osprey Dr"
