"ID","Name","Is_Closed","URL","Review_Count","Categories","Rating","Latitude","Longitude","Price","Address"
"2-HYOknEBegtIHlnr9Ky9g","Brewery Creek Inn and Brewpub","FALSE","https://www.yelp.com/biz/brewery-creek-inn-and-brewpub-mineral-point?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","59","American (New) | Brewpubs","4","42.8577299","-90.17677","$$","23 Commerce St"
"30dv6ceXxrqz6iOmechGuA","Popolo Pizzeria","FALSE","https://www.yelp.com/biz/popolo-pizzeria-mineral-point?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","15","Pizza | Salad | Pasta Shops","4.5","42.8579737398212","-90.1771722935631","$$","20 Commerce St"
"l1qmfHSazcGxsEu1qd0cRA","Esperanza","FALSE","https://www.yelp.com/biz/esperanza-mineral-point?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","4","Wine Bars | Empanadas | Tapas/Small Plates","5","42.8592639249792","-90.1773472392375","$$","210 Commerce St"
"St6UZRi0hhSkUgvsE204_g","Tequila Point","FALSE","https://www.yelp.com/biz/tequila-point-mineral-point?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","16","American (New) | Mexican | Barbeque","4","42.859825","-90.1779789","$$","43 High St"
"dM-RVxRALmayPSZfMXLoCw","Pointer Cafe","FALSE","https://www.yelp.com/biz/pointer-cafe-mineral-point?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","15","Cafes","3.5","42.8562299","-90.18901","$","809 Ridge St"
"A6T52JwL6VZHAi_el9pI4Q","The Burg","FALSE","https://www.yelp.com/biz/the-burg-shullsburg?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","10","American (Traditional) | Burgers | Pizza","4.5","42.5722944699587","-90.2322347089648","$$","134 W Water St"
"bLoO4slLT6-qRnzdNaRtcw","Red Rooster Cafe","FALSE","https://www.yelp.com/biz/red-rooster-cafe-mineral-point?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","28","Breakfast & Brunch | American (New)","3","42.8598556518555","-90.1797561645508","$","158 High St"
"dMzXHrhRcPjkn7BZORFXBA","Moundview Family Restaurant","FALSE","https://www.yelp.com/biz/moundview-family-restaurant-belmont?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","3","Restaurants","4","42.745231628418","-90.3418121337891","","102 W Mound View Ave"
"ZGFWizMQEbtu2rNzzG7Rew","Gray Dog Deli","FALSE","https://www.yelp.com/biz/gray-dog-deli-mineral-point?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","28","Delis | Desserts | Bars","4","42.8603820800781","-90.18017578125","$$","215 High St"
"RYZ8tahGuRpfLCgZbLVhbg","Belmont Travel Center","FALSE","https://www.yelp.com/biz/belmont-travel-center-belmont?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","1","Pizza | Gas Stations","3","42.745231628418","-90.3418121337891","","102 W Mound View Ave"
"unbdbK6SZMPsT-aebNuDuw","Water Street Place","FALSE","https://www.yelp.com/biz/water-street-place-shullsburg?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","5","Hotels | Bed & Breakfast | Restaurants","4","42.5724297","-90.2327271","$","202 W Water St"
"Mz9su6Mouol_mPYItFHa6w","Zian's Place","FALSE","https://www.yelp.com/biz/zians-place-mineral-point?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","3","Chinese | Seafood | Soup","5","42.8694","-90.1755699","","615 Dodge St"
"FV-ycf-VfBStX4tuRMufOw","Hideaway Acres Supper Club","FALSE","https://www.yelp.com/biz/hideaway-acres-supper-club-benton?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","3","American (Traditional)","4","42.56423","-90.351952","$$","4825 Bennett Rd"
"wWavTiP9T4zBz4d1XHLe0w","Red's Supper Club","FALSE","https://www.yelp.com/biz/reds-supper-club-cuba-city?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","6","Restaurants","3.5","42.666748046875","-90.3590393066406","$$","27569 State Road 81"
"P_0kd6OAAALhS8R8PtEbIQ","Midway Bar","FALSE","https://www.yelp.com/biz/midway-bar-mineral-point?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","8","Bars | American (New)","3.5","42.8596572875977","-90.1794052124023","$","140 High St"
"3BUfZkP_yGdoZ3z1iPTXsA","Ludden Lake Golf Course & Supper Club","FALSE","https://www.yelp.com/biz/ludden-lake-golf-course-and-supper-club-mineral-point?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","6","Golf | American (Traditional)","3.5","42.87843","-90.20392","$$","1350 W Lake Rd"
"y5VxJ-VUj8CfFDDPD27Gkg","Tony's Tap","FALSE","https://www.yelp.com/biz/tonys-tap-mineral-point?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","8","Restaurants","4","42.8571548461914","-90.1774215698242","","10 Commerce St"
"vPjQta_wALQ3yCzI7FQ5gQ","Cruise Inn Bar & Grill","FALSE","https://www.yelp.com/biz/cruise-inn-bar-and-grill-mineral-point?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","1","Burgers | Pizza | Sandwiches","4","42.859188079834","-90.1767044067383","","221 Commerce St"
"JGLjgdgI4MThpEUV8-QUCg","Wheel In Restaurant & Lounge","FALSE","https://www.yelp.com/biz/wheel-in-restaurant-and-lounge-shullsburg?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","2","Restaurants","4","42.577299","-90.234676","","Highway 11"
"IDDbaRuqEgBkxJNNQOHx0A","Miner Alley","FALSE","https://www.yelp.com/biz/miner-alley-shullsburg?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","2","Restaurants","2.5","42.5725059509277","-90.2318420410156","","133 W Water St"
"ZTGYcDaWr8W8WxUjkdFCxw","Pit Stop","FALSE","https://www.yelp.com/biz/pit-stop-mineral-point?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","1","Gas Stations | Convenience Stores | Restaurants","4","42.86902","-90.17648","","609 Dodge St"
