"ID","Name","Is_Closed","URL","Review_Count","Categories","Rating","Latitude","Longitude","Price","Address"
"ZXncDFimtItSLWiGUKI5Ig","Ingman's Parkway Pub","FALSE","https://www.yelp.com/biz/ingmans-parkway-pub-tomahawk?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","7","Burgers | Sports Bars | Breakfast & Brunch","4.5","45.465991808149","-89.7335024178028","$$","433 S Tomahawk Ave"
"G_34mZbmWvfJAqI7KICHoQ","Nokomis Pub & Eatery","FALSE","https://www.yelp.com/biz/nokomis-pub-and-eatery-tomahawk?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","13","Pubs | American (Traditional)","4","45.5505165763316","-89.765","$$","N11980 County Rd Y"
"zVJ_lXAr4UMCNEHewP4iFQ","Happy Snapper","FALSE","https://www.yelp.com/biz/happy-snapper-tomahawk?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","10","American (New)","3.5","45.4549331665039","-89.7329025268555","$$","1315 S Tomahawk Ave"
"6tqhZtzUWwmePizzUOX5mA","Boomba Bar & Grill","FALSE","https://www.yelp.com/biz/boomba-bar-and-grill-tomahawk?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","3","Bars | American (New)","5","45.569617068165","-89.8075989040883","$","11083 Old 8"
"1vSB8RAeUCbj9mR302_Rqw","Lisa's Pub N Grub","FALSE","https://www.yelp.com/biz/lisas-pub-n-grub-tomahawk-2?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","1","Pubs | American (Traditional)","5","45.536604","-89.755104","$","N11611 County Rd Y"
"c-mW4OnztWmdJn7KNQYyiA","Tomahawk Lodge Resort & Supper Club","FALSE","https://www.yelp.com/biz/tomahawk-lodge-resort-and-supper-club-tomahawk?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","3","Hotels | Restaurants","3.5","45.51354","-89.85743","$","N10985 County Road Cc"
"RmdeyR6MNof8ujHBVOHysg","Sammy's Subs","FALSE","https://www.yelp.com/biz/sammys-subs-tomahawk?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","3","Restaurants","2.5","45.4706199","-89.73378","$","14 S Tomahawk Ave"
"0bWpRZGZaB4SmHRHnAxhCQ","Billy Bob's Sports Bar and Grill","FALSE","https://www.yelp.com/biz/billy-bobs-sports-bar-and-grill-tomahawk?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","32","American (Traditional) | Sports Bars | Soup","3.5","45.552781","-89.716662","$","N 12025 Co Hwy L"
"tMOJapfeN08RoW-LK9JoRA","Bootleggers & Supper Club","FALSE","https://www.yelp.com/biz/bootleggers-and-supper-club-tomahawk?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","13","American (Traditional)","3","45.560611","-89.710414","$$","2001 Indian Pine Point Rd"
"8CNntJ2zB1aWtvOjehgXiA","Outboard's Bar & Grill","FALSE","https://www.yelp.com/biz/outboards-bar-and-grill-tomahawk?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","15","American (New) | Pizza | Sports Bars","3.5","45.47923","-89.72875","$$","616 N 4th St"
"cmWNalwDO6B5lXGNCwJxwg","Tomahawk Family Restaurant","FALSE","https://www.yelp.com/biz/tomahawk-family-restaurant-tomahawk?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","9","American (Traditional) | Diners | Breakfast & Brunch","3","45.485081","-89.728754","$","1020 N 4th St"
"D-905L4B0nl26kyiNWIczw","The Thirsty Giraffe","FALSE","https://www.yelp.com/biz/the-thirsty-giraffe-tomahawk?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","15","Bars | American (Traditional) | Barbeque","2.5","45.57018","-89.72153","$$","2200 County Rd L"
"cymxzeI8qD4FJkSoP5cdYw","BB Kitchen Authentic Thai","FALSE","https://www.yelp.com/biz/bb-kitchen-authentic-thai-tomahawk?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","6","Thai | Food Trucks","4","45.4902976948393","-89.7298811003566","$","1515 N 4th St"
"AnEkLJ-wFfN60ls4PpVowQ","Dog N Suds","FALSE","https://www.yelp.com/biz/dog-n-suds-tomahawk?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","13","Hot Dogs | Burgers | American (Traditional)","4.5","45.48684","-89.72897","$","1228 N 4th St"
"_3n65Raupaeb-IGKpzJQvQ","Beking Chinese Restaurant","FALSE","https://www.yelp.com/biz/beking-chinese-restaurant-tomahawk?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","6","Chinese","5","45.4731499","-89.72932","","205 N 4th St"
"hkafX6FRQFucG93Pt5q-9A","River's Edge Bar and Grill","FALSE","https://www.yelp.com/biz/rivers-edge-bar-and-grill-tomahawk?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","1","Pubs | Fish & Chips | Pizza","3","45.49581","-89.62647","","W4011 County Rd A"
"mTvfOg49BE1a-Q_yrwaZ1Q","Schaefer's Wharf","FALSE","https://www.yelp.com/biz/schaefers-wharf-tomahawk?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","7","Burgers | Pizza","3","45.5593109130859","-89.7144317626953","","1969 County L"
"q3Kn5buJ0yhYZc3kxrVfPw","Rodeo Saloon Bar and Grill","FALSE","https://www.yelp.com/biz/rodeo-saloon-bar-and-grill-tomahawk-2?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","3","Pizza | American (Traditional) | Burgers","3.5","45.4710693","-89.7303314","$","22 W Wisconsin Ave"
"-K-RllEfr295XJpnwY4c1w","Twin Bay Resort","FALSE","https://www.yelp.com/biz/twin-bay-resort-tomahawk?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","4","Hotels | Pizza | Recreation Centers","4","45.5688323974609","-89.7232894897461","$$","2173 County Rd L"
"5RwsC5qlOlS-SMDwW5IcCA","McDonald's","FALSE","https://www.yelp.com/biz/mcdonalds-tomahawk?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","2","Fast Food | Coffee & Tea | Burgers","3","45.48814","-89.72998","$","1329 N 4th St"
"U0lPd40X9Y-MFOPafZKpeQ","Pizza Hut","FALSE","https://www.yelp.com/biz/pizza-hut-tomahawk?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","1","Pizza | Italian | Chicken Wings","3","45.4855041503906","-89.7285079956055","","1122 N 4th St"
"70DZ59pMGsk0OMRnL4WnDA","Subway","FALSE","https://www.yelp.com/biz/subway-tomahawk?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","2","Fast Food | Sandwiches","2.5","45.483528137207","-89.7296752929688","","859 N 4th St"
"Q26EJxkfCQo7_mlfHm-P2g","Parrish Cafe","FALSE","https://www.yelp.com/biz/parrish-cafe-gleason?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","1","Cafes","4","45.400883164943","-89.4519477544922","","N10853 State Hwy 17"
"KJV5MJhIjqwWSy4RZjjb9g","Henkel's Town Pump","FALSE","https://www.yelp.com/biz/henkels-town-pump-rhinelander?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","9","Sandwiches | Bars | Pizza","4.5","45.6125221252441","-89.5393676757812","$$","7161 Hwy 8"
"0PBizovt2DxKRsTbEITtdg","Bayfield Spice","FALSE","https://www.yelp.com/biz/bayfield-spice-rhinelander?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","1","American (New)","4","45.6043357849121","-89.4559860229492","","2991 S River Rd"
"aYmOaVGssxOjWHk-oJsgtg","Ma's Place","FALSE","https://www.yelp.com/biz/mas-place-gleason?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","2","Cafes","5","45.30735","-89.50688","","5375 State Rd 17"
