"ID","Name","Is_Closed","URL","Review_Count","Categories","Rating","Latitude","Longitude","Price","Address"
"ReeuaWzHKV5ChOVntcK6Xw","Pioneer Family Restaurant","FALSE","https://www.yelp.com/biz/pioneer-family-restaurant-westfield?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","22","Coffee & Tea | Breakfast & Brunch | Burgers","3.5","43.8877306368428","-89.4848850686429","$","244 N Pioneer Park Rd"
"RmtX2aduv-rTg6Ic4ny6Uw","The Haystack Supper Club","FALSE","https://www.yelp.com/biz/the-haystack-supper-club-westfield?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","10","Diners | Breakfast & Brunch","2.5","43.8830378","-89.5306454","$$","W7457 County Rd E"
"Lls68zfRaZRs57uVBjUYPA","Village Inn","FALSE","https://www.yelp.com/biz/village-inn-westfield?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","2","American (Traditional)","2","43.8858147","-89.4931335","$$","104 E 2nd St"
"EgI-L9KzHBzMWtAOTi2L2Q","Johann's Bar & Grill","FALSE","https://www.yelp.com/biz/johanns-bar-and-grill-coloma?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","5","Pizza | Beer, Wine & Spirits | Seafood","5","44.016768","-89.435091","$$","N1257 County Rd"
"aKpWeIH5JNa1MssbEFW3qQ","Haystack Lounge and Dining","FALSE","https://www.yelp.com/biz/haystack-lounge-and-dining-westfield?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","2","American (Traditional) | Pizza | Barbeque","3","43.88227","-89.530291","","W7457 Cty Rd E"
"QRo3GNrhaQ1DzUNYdlZrvA","Redneck Saloon","FALSE","https://www.yelp.com/biz/redneck-saloon-oxford?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","4","Restaurants","5","43.8250699","-89.64651","$$","345 County Road A"
"RWuihwk9j2VaMKk1GAES_Q","Johnny B's Bar & Grill","FALSE","https://www.yelp.com/biz/johnny-bs-bar-and-grill-richford?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","3","Bars | American (Traditional)","3.5","44.023345","-89.43573","$","N1321 County Rd B"
"ziBKfwkcsAZUe47fVJ7Fjw","Bad Brad's 2","FALSE","https://www.yelp.com/biz/bad-brads-2-oxford?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","3","Italian","3.5","43.7813969622886","-89.5727485790849","","107 W Ormsby St"
"nW_4kij6v313UAp20QIX3g","Frannie May's Cafe","FALSE","https://www.yelp.com/biz/frannie-mays-cafe-oxford-3?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","3","Cafes | Breakfast & Brunch | Laundromat","2.5","43.7817562","-89.5778773","","544 W Ormsby St"
"bZ5g_Cfug6nuoIPhrs2hMA","Subway","FALSE","https://www.yelp.com/biz/subway-westfield-2?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","2","Sandwiches | Fast Food","2.5","43.8873024","-89.4850693","","219 N Pioneer Park Rd"
"p0fc8GcE_UWMC81qoQxrnQ","Steele's Country Inn","FALSE","https://www.yelp.com/biz/steeles-country-inn-coloma?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","1","Restaurants","4","44.026626","-89.436019","","N1321 County Road B"
