"ID","Name","Is_Closed","URL","Review_Count","Categories","Rating","Latitude","Longitude","Price","Address"
"msPhykW_fcd6mrTnSl3QyQ","Evergreens Supper Club","FALSE","https://www.yelp.com/biz/evergreens-supper-club-black-river-falls?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","4","Bars | American (Traditional)","3","44.15754","-90.71341","$$","1153 Apollo Rd"
"zm6oqnVcDHZ8zNQe6sLE3g","McCoy's","FALSE","https://www.yelp.com/biz/mccoys-fort-mccoy?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","14","Mexican | Buffets","3","44.0142907526","-90.6837420707","$","1571 S 9th Ave"
"zQSm-shc58nkjrYkcxVwHA","Ginny's Cupboard","FALSE","https://www.yelp.com/biz/ginnys-cupboard-sparta-2?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","38","Sandwiches | Salad | Cafes","4","43.9451899","-90.8106899","$$","127 N Water St"
"fO_0DGvgo-Qt3W0dvcSE6Q","Sparta Steakhouse","FALSE","https://www.yelp.com/biz/sparta-steakhouse-sparta?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","21","Steakhouses","3.5","43.9379196","-90.8280716","$$","701 Industrial Dr"
"WcYCqJk_YsvZU_LJnuOO0w","Sparta Family Restaurant","FALSE","https://www.yelp.com/biz/sparta-family-restaurant-sparta?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","11","American (Traditional) | Breakfast & Brunch | Sandwiches","4.5","43.9229698181152","-90.8195571899414","$","741 Avon Rd"
"CN2SejEcvUVclcEOFawv6w","Shane & Penney's Slice of Chicago","FALSE","https://www.yelp.com/biz/shane-and-penneys-slice-of-chicago-sparta?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","34","Pizza | Italian | Sandwiches","4.5","43.93886","-90.8171","$$","507 W Wisconsin St"
"RZ93t8aynEJRnQjIPkmNdQ","El Vallarta Mexican Restaurant","FALSE","https://www.yelp.com/biz/el-vallarta-mexican-restaurant-sparta?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","28","Mexican","4","43.94647","-90.82025","$$","223 N Black River St"
"5kUTgDDQYH19BrhoWQjwyQ","Leroy's Grill","FALSE","https://www.yelp.com/biz/leroys-grill-sparta?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","4","American (Traditional)","4.5","43.9446220397949","-90.8145294189453","",""
"T4cremZI9ooYZ_ykjgpWrQ","The Vault","FALSE","https://www.yelp.com/biz/the-vault-rockland?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","2","Bars | American (Traditional) | Wraps","4.5","43.9069298370885","-90.9208969992799","$","101 W Rock St"
"OraphWdFLZMPoe-0nzPS0A","Italiano's","FALSE","https://www.yelp.com/biz/italianos-sparta?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","30","Italian","3","43.945621","-90.8113879","$$","142 N Water St"
"wLAKqieGMwbXHzupLTl8Sw","Dorine's Family Inn","FALSE","https://www.yelp.com/biz/dorines-family-inn-sparta-2?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","9","American (Traditional) | Breakfast & Brunch | Burgers","4","43.9440002441406","-90.8112716674805","$","110 S Water St"
"-88CwO_ExXsNy9x_UHeOUQ","Jose Maseda","FALSE","https://www.yelp.com/biz/jose-maseda-sparta?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","4","Mexican","4.5","43.93923","-90.81549","","402 W Wisconsin St"
"uBKIJQC6qmKIb_yekAyvbA","Rudy's Drive In Restaurant","FALSE","https://www.yelp.com/biz/rudys-drive-in-restaurant-sparta?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","10","American (Traditional)","3.5","43.93935","-90.8111","$","100 W Wisconsin St"
"pMYjFcbMScZ-p6-BR7NwFA","Super Restaurant","FALSE","https://www.yelp.com/biz/super-restaurant-sparta?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","2","Barbeque | Breakfast & Brunch | Sandwiches","3.5","43.93876","-90.8285","","620 Industrial Dr"
"LFx6A4A5ifPE9D8W0MZD5w","Great Wall Buffet","FALSE","https://www.yelp.com/biz/great-wall-buffet-sparta?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","7","Chinese","3","43.939441","-90.817695","","516 W Wisconsin St"
"LSmFryYiA5WV554Q8U8TAg","Culver's","FALSE","https://www.yelp.com/biz/culvers-sparta?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","4","Burgers | Fast Food | Ice Cream & Frozen Yogurt","4","43.9390099705685","-90.8236198872328","$","911 W Wisconsin St"
"JgKHcMvZBf07qIDEsbPsgQ","Club 16","FALSE","https://www.yelp.com/biz/club-16-sparta-2?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","2","Bars | American (Traditional)","1.5","43.9382095336914","-90.8338928222656","","1615 W Wisconsin St"
"qJdFm-SU2_Yi-HdXmEGcLQ","Papa Murphy's","FALSE","https://www.yelp.com/biz/papa-murphys-sparta-2?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","3","Pizza","4.5","43.94623","-90.82025","$","215 North Black River Street"
"6L4hBL6kLltlGphcX-zsWg","Pizza Hut","FALSE","https://www.yelp.com/biz/pizza-hut-sparta?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","4","Pizza | Italian | Chicken Wings","4","43.93876","-90.82161","$","821 W Wisconsin St"
"VpD-ij3Lm1BeB4eqPEz2Rg","McDonald's","FALSE","https://www.yelp.com/biz/mcdonalds-sparta-6?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","2","Burgers | Fast Food | Coffee & Tea","2","43.9381821176415","-90.821262","$","620 S Black River St"
