"ID","Name","Is_Closed","URL","Review_Count","Categories","Rating","Latitude","Longitude","Price","Address"
"7PVcrncJLp9gr8fMDRMtLg","Hometown Grill","FALSE","https://www.yelp.com/biz/hometown-grill-shiocton?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","7","Diners","4.5","44.445454","-88.576045","$","W7711 State Highway 54"
"eF-cBQg3Bh7Bq4lq4x7TBQ","River Rail River View Banq Hall","FALSE","https://www.yelp.com/biz/river-rail-river-view-banq-hall-shiocton?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","1","American (Traditional)","3","44.437677","-88.581316","","N5547 River St"
"1Eq7cQQgnBDwS_RLnn8jNA","Black Otter Supper Club","FALSE","https://www.yelp.com/biz/black-otter-supper-club-hortonville?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","44","American (Traditional)","3.5","44.33041","-88.6397476","$$","503 S Nash St"
"cwB-e981di4ZxFZbJTbY8Q","Damn Yankees Watering Hole","FALSE","https://www.yelp.com/biz/damn-yankees-watering-hole-hortonville?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","9","American (Traditional) | Sports Bars","2.5","44.36752","-88.63545","","N3517 County Rd M"
"kXuouwYU6ie32qMYDrwcag","Roosters Bar & Breakfast","FALSE","https://www.yelp.com/biz/roosters-bar-and-breakfast-pulaski?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","1","Bars | Burgers | Breakfast & Brunch","5","44.5648154431288","-88.4652813972994","","W5635 Cty Rd F"
"sqPNhZI1qdGW78VjlgGaPQ","Mike & Sonja's Bar","FALSE","https://www.yelp.com/biz/mike-and-sonjas-bar-shiocton?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","1","Restaurants","5","44.441097","-88.579353","","N5578 State Highway 76"
"TH7Tjm8t5fJLQIKmpoXGTg","Romy's Nitingale","FALSE","https://www.yelp.com/biz/romys-nitingale-black-creek?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","3","American (New)","3","44.4273605","-88.4726791","","W5670 County Rd A"
"L16_B1a5PZBjel9bHLpVVA","Loose Wheel Supper Club","FALSE","https://www.yelp.com/biz/loose-wheel-supper-club-hortonville?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","12","American (Traditional) | Breakfast & Brunch | Gastropubs","3","44.335145","-88.640778","$$","302 W Main St"
"pmZhMAFUEHES5SM2XAw5Gw","Charlie's Drive-In Restaurant","FALSE","https://www.yelp.com/biz/charlies-drive-in-restaurant-hortonville?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","6","American (Traditional)","4.5","44.335974","-88.651248","$","806 W Main St"
"RcxLn6pV_jqp_TJcpfDefg","MJ's Supper club","FALSE","https://www.yelp.com/biz/mjs-supper-club-hortonville?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","1","Steakhouses | Bars","4","44.352745","-88.608669","","W8326 County Road Mm"
