"ID","Name","Is_Closed","URL","Review_Count","Categories","Rating","Latitude","Longitude","Price","Address"
"_13KIfnhN5SP5Al6C6VgjQ","River Deck","FALSE","https://www.yelp.com/biz/river-deck-restaurant-hayward-2?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","32","American (Traditional)","4.5","46.0053360883032","-91.4764954057693","$$","15648 W County Road B"
"0OqfCuS-3Z-BUKSxNpANTQ","Four Seasons Resort & Hotel","FALSE","https://www.yelp.com/biz/four-seasons-resort-and-hotel-hayward?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","4","Bars | American (New)","4","46.0819282531738","-91.4904251098633","$$","15925 W Four Seasons Rd"
"lr8Nd3or9O9bDZlno7lPPg","Logger's Mill","FALSE","https://www.yelp.com/biz/loggers-mill-hayward-2?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","20","American (Traditional) | Barbeque | Sports Bars","4","46.0056037883274","-91.4782896673631","$$","15708 W County Hwy B"
"EqJoWwObz6ud8p-TVCCJow","Wayside Sports Bar and Grill","FALSE","https://www.yelp.com/biz/wayside-sports-bar-and-grill-hayward-2?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","6","Sports Bars | American (Traditional) | Venues & Event Spaces","4","46.0843482","-91.3987088","","12475 N Hwy 63"
"7fq4EKxHHHA-nCOfTmqDeA","The Ranch","FALSE","https://www.yelp.com/biz/the-ranch-hayward?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","29","Seafood | Steakhouses | American (Traditional)","4","46.01647","-91.4666699","$$","10590 N Ranch Rd"
"fYdpHD1VrJCS8ss-8lYCww","Phipps Tavern","FALSE","https://www.yelp.com/biz/phipps-tavern-hayward?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","2","Sports Bars | American (Traditional)","3","46.062827","-91.414288","","11905 N Phipps Rd"
"RpsUAQXEY0oLP9cZb0VvYQ","Old Southern BBQ","FALSE","https://www.yelp.com/biz/old-southern-bbq-hayward?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","51","Barbeque","4","46.014976","-91.481894","$$","15768 US Hwy 63"
"-5FVlElVlhYi6tThCTYq_Q","The Steakhouse & Lodge","FALSE","https://www.yelp.com/biz/the-steakhouse-and-lodge-hayward?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","23","Hotels | Steakhouses | Bars","3.5","46.0106220890428","-91.4815308952149","$$","15860 T Bone Ln"
"JFobMKdRARTzw2mj1cYeHw","Sawmill Saloon","FALSE","https://www.yelp.com/biz/sawmill-saloon-hayward?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","14","American (New)","3","46.121521","-91.361618","$$","13505 N US Hwy 63"
"_zY2ZoBEhUtZL-vy9X8PzQ","Hayward Family Restaurant","FALSE","https://www.yelp.com/biz/hayward-family-restaurant-hayward?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","19","American (Traditional) | American (New)","4","46.0113564133644","-91.4872205257416","$","15870 US Hwy 63"
"XuTwnYThJSIOA8NJadzYyQ","Norske Nook","FALSE","https://www.yelp.com/biz/norske-nook-hayward?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","49","Breakfast & Brunch","3.5","46.0101957494375","-91.4816530465985","$$","10436 S State Rd 27"
