"ID","Name","Is_Closed","URL","Review_Count","Categories","Rating","Latitude","Longitude","Price","Address"
"KTbINoxeMrCt05zubfsOcQ","The Brown Baer","FALSE","https://www.yelp.com/biz/the-brown-baer-elkhart-lake?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","47","Bars | American (New)","4","43.83338","-88.01578","$","181 E Rhine St"
"REvG3-2hd6B-qR3GHg0CnA","Lake Street Cafe","FALSE","https://www.yelp.com/biz/lake-street-cafe-elkhart-lake?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","75","American (Traditional) | Mediterranean | Wine Bars","4","43.83292","-88.01843","$$","21 S Lake St"
"fVDkIYT4rf9nyuz8JU9WwQ","Elkhart Inn","FALSE","https://www.yelp.com/biz/elkhart-inn-elkhart-lake-2?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","7","American (Traditional) | Supper Clubs","5","43.832531","-88.014187","$$$","91 S Lincoln St"
"br1rSORM73KtYHmMHk0p_Q","Millhome Supper Club","FALSE","https://www.yelp.com/biz/millhome-supper-club-kiel?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","12","Seafood | American (Traditional)","4","43.8982506","-87.9753799","$$","16524 Lax Chapel Rd"
"WHGFFI6xL5tU1QHLlDWWAw","Paddock Club","FALSE","https://www.yelp.com/biz/paddock-club-elkhart-lake?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","65","American (New) | Wine Bars","4.5","43.83266","-88.01837","$$$","61 S Lake St"
"1kNfDNcDiwBLgllLezzqvg","Flip Flops Beach Bar & Grill","FALSE","https://www.yelp.com/biz/flip-flops-beach-bar-and-grill-kiel?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","1","American (Traditional) | Tiki Bars | Pizza","5","43.92701","-87.94135","","14136 Cedar Lake Rd"
"SjmJbGyKgCqwJBmsVcmDOg","Meat's Opera Haus","FALSE","https://www.yelp.com/biz/meats-opera-haus-saint-nazianz?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","3","Bars | American (New)","5","44.0066452026367","-87.9227294921875","$","204 S 4th Ave"
"rnPpEPle3Jn0ubOFBqgWqQ","Siebkens Resort Main Dining Room","FALSE","https://www.yelp.com/biz/siebkens-resort-main-dining-room-elkhart-lake?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","2","American (Traditional) | Venues & Event Spaces","5","43.830012379772","-88.0176685344831","$$","280 S Lake St"
"4LhIRIekxM_OiLGBMdV5hg","Lola's On the Lake","FALSE","https://www.yelp.com/biz/lolas-on-the-lake-elkhart-lake?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","21","American (Traditional)","3.5","43.830471","-88.015343","$$$","101 Osthoff Ave"
"YTVST6_N47F-x2jbXbpt3Q","Back Porch Bistro","FALSE","https://www.yelp.com/biz/back-porch-bistro-elkhart-lake?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","22","American (Traditional) | Seafood | Pizza","3.5","43.830135","-88.018031","$$","279 Lake St"
