"ID","Name","Is_Closed","URL","Review_Count","Categories","Rating","Latitude","Longitude","Price","Address"
"cZOXzhwo-R5A_th1aSJThA","Marine Landing b.o.t.m.","FALSE","https://www.yelp.com/biz/marine-landing-b-o-t-m-marine-on-saint-crox?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","4","American (New)","4.5","45.20289","-92.7655702","","10 Elm St"
"2AL_iMNgF7FWfC7q7_KesQ","Everyday Cafe","FALSE","https://www.yelp.com/biz/everyday-cafe-somerset?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","8","American (Traditional)","4","45.1235694885254","-92.6756973266602","$","260 Main St"
"lWsAvheWVlGWA1wU1UIHlw","Brookside Bar & Grill","FALSE","https://www.yelp.com/biz/brookside-bar-and-grill-marine-st-croix?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","15","American (Traditional)","3.5","45.1978099","-92.7695899","$$","140 Judd St"
"9R6rdRaOxCW35A58K_oCMA","The Marine Cafe","FALSE","https://www.yelp.com/biz/the-marine-cafe-marine-on-saint-croix?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","9","Breakfast & Brunch | Coffee & Tea","3.5","45.1989562064409","-92.7697952091694","$","41 Judd St"
"zr4eEWj7UTF51qh8PL_cqw","Not Justa Bar & Cafe","FALSE","https://www.yelp.com/biz/not-justa-bar-and-cafe-somerset-2?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","2","Waffles | Burgers | Sports Bars","5","45.15261","-92.6734199","","698 200th Ave"
"1kFxZ7IByi8k9ih1v0vxrA","General Sam's","FALSE","https://www.yelp.com/biz/general-sams-somerset?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","8","American (Traditional) | Pizza | Sports Bars","2.5","45.132466","-92.681738","$$","710 Spring St"
"xPKi0Z1plYg1qfZQ1Nx9BA","St. Croix Chocolate Company","FALSE","https://www.yelp.com/biz/st-croix-chocolate-company-marine?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","12","Chocolatiers & Shops | Wine Bars | Pizza","4.5","45.1991621","-92.7697851","$$","11 Judd St"
"LJS4XpREY-0bhGIqD38A9g","Sportsman's Cafe & Lounge","FALSE","https://www.yelp.com/biz/sportsmans-cafe-and-lounge-somerset?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","4","Restaurants","2.5","45.1245","-92.67523","","217 Main St"
"IfHyP6DrnEQY4YsLEDY8RA","Pizza Planet","FALSE","https://www.yelp.com/biz/pizza-planet-somerset?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","4","Italian | Pizza","2.5","45.12389","-92.67597","$$","253 Main St"
"gzWCFRPqnARKI7-ibVmAtg","Rendezvous Pizza","FALSE","https://www.yelp.com/biz/rendezvous-pizza-somerset?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","1","Pizza","4","45.12408","-92.67492","$$","220 Main"
