"ID","Name","Is_Closed","URL","Review_Count","Categories","Rating","Latitude","Longitude","Price","Address"
"XSNQyeSnmN5mvnRjQVPw2A","Pammy K's Café & Catering","FALSE","https://www.yelp.com/biz/pammy-ks-caf%C3%A9-and-catering-eleva-2?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","4","Cafes | Breakfast & Brunch | Seafood","4.5","44.5761929","-91.4735376","$","26126 W Mondovi St"
"UzGa3OwBTfLkn3gYXCgVcg","Valley Golf Course & Supper Club","FALSE","https://www.yelp.com/biz/valley-golf-course-and-supper-club-mondovi?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","1","Restaurants","4","44.5851682126522","-91.6422508656979","","S80 Golf Rd"
"jXXabjej9tiy4SZsneh82Q","Detox Bar & Grill","FALSE","https://www.yelp.com/biz/detox-bar-and-grill-arcadia?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","7","Restaurants","4.5","44.25312","-91.50301","$","402 W Main St"
"NMBr7bc5BOpk9ofRg_YENA","Ashley Home Store Pub & Garden","FALSE","https://www.yelp.com/biz/ashley-home-store-pub-and-garden-arcadia?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","3","American (New)","2.5","44.2474599","-91.47434","$$$$","343 Detloff Dr"
"c449aAfS_7U3sETf8srZOg","Kozy Kitchen","FALSE","https://www.yelp.com/biz/kozy-kitchen-arcadia?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","1","Breakfast & Brunch | Burgers","4","44.25222","-91.49983","","105 W Main St"
"W_4WbMa03wXTGkF0tVBSkg","Arcadia Family Restaurant","FALSE","https://www.yelp.com/biz/arcadia-family-restaurant-arcadia?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","3","Cafeteria | American (Traditional) | Diners","3","44.2442480600085","-91.4726366154833","$","1632 Blachko Ave"
"LLQWokxwxnjMOlI3HHVEAA","Pizza Factory","FALSE","https://www.yelp.com/biz/pizza-factory-arcadia?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","1","Pizza","4","44.2523040622473","-91.4987459778786","","116 E Main St"
"9_Ogzcn7Cz8Qk4oxF-8_oA","Riverview Lanes","FALSE","https://www.yelp.com/biz/riverview-lanes-arcadia?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","1","Burgers | Sandwiches","1","44.25374","-91.50604","","634 W Main St"
"bwC0G5hA07jQNLN3YgsuaA","Subway","FALSE","https://www.yelp.com/biz/subway-arcadia?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","2","Fast Food | Sandwiches","3","44.253044128418","-91.5019378662109","","300 W Main St"
"bDE8tplYzvaHnilLbHQWZQ","McDonald's","FALSE","https://www.yelp.com/biz/mcdonalds-arcadia-8?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","1","Coffee & Tea | Burgers | Fast Food","1","44.2495439445674","-91.4725755423279","","310 Nelson Dr"
"7UEdhVUp0ll4kQGLZMnMdQ","El Ranchero Restaurant & Cantina","FALSE","https://www.yelp.com/biz/el-ranchero-restaurant-and-cantina-independence?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","2","Mexican","3","44.3565849","-91.4239597","","23798 Washington St"
"wIUZ4rhkIqQRA_LlwBCQ8w","Newcomb Valley Inn","FALSE","https://www.yelp.com/biz/newcomb-valley-inn-arcadia-3?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","3","American (Traditional) | Sports Bars","3.5","44.2560765","-91.4046783","$$","W22768 State Rd 95"
