"ID","Name","Is_Closed","URL","Review_Count","Categories","Rating","Latitude","Longitude","Price","Address"
"fjq0gDzbzAnVG2EoPldjWA","Smokey's","FALSE","https://www.yelp.com/biz/smokeys-manitowish-waters?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","33","Steakhouses | Seafood | American (New)","4","46.156574","-89.875785","$$$","6410 County Hwy W"
"qr2KGrG0OscDxwScHeSPEg","Aurora Borealis Restaurant","FALSE","https://www.yelp.com/biz/aurora-borealis-restaurant-manitowish-waters?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","27","American (New) | Bars | Breakfast & Brunch","3.5","46.1389707926905","-89.8853728357718","$$","6047 County Hwy W"
"oTZ_8SCR4jIM6LQTUzKpBQ","Ye Olde Shillelagh","FALSE","https://www.yelp.com/biz/ye-olde-shillelagh-manitowish-waters?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","19","Irish | Irish Pub | Sports Bars","4.5","46.1416021","-89.9020212","$","14202 Tower Rd"
"3vGMs6lKhZ-46ohicLBkNQ","Parkside Tavern","FALSE","https://www.yelp.com/biz/parkside-tavern-manitowish-waters?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","15","American (New) | Diners | Seafood","3.5","46.1368956","-89.8860111","$$$","140 County Rd W"
"Fh9lMu9M8Rk2JHZQSKlEOw","Little Bohemia Lodge","FALSE","https://www.yelp.com/biz/little-bohemia-lodge-manitowish-waters?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","57","American (Traditional) | Cocktail Bars","3","46.121568","-89.8562247","$$","142 Hwy 51 S"
"pEgx3xMDH2akNwarlF5-8g","Anglers","FALSE","https://www.yelp.com/biz/anglers-manitowish-waters?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","9","Bars | Burgers | Pizza","3.5","46.155937","-89.876755","","6101 County Rd W"
"kC3R8kb4M08arewRNzaazA","Pea Patch Motel & Saloon","FALSE","https://www.yelp.com/biz/pea-patch-motel-and-saloon-manitowish-waters-3?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","19","Salad | Pizza | Sandwiches","3","46.1533657","-89.8823693","$","6011 County Rd W"
"4O4NxFHW0K9dWlVURPl2Dg","Presque Isle Yacht Club","FALSE","https://www.yelp.com/biz/presque-isle-yacht-club-presque-isle?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","6","American (New)","5","46.246166229248","-89.7293090820312","","8265 Main"
"Reaz6uGa7wl0TkoRJO6LQg","Aqualand Ale House","FALSE","https://www.yelp.com/biz/aqualand-ale-house-boulder-junction?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","65","American (New) | Beer Bar | Sandwiches","4","46.113251","-89.648154","$$","10450 Main St"
"dR_PwShWQSqgbQNSczceLw","Zastrow's Lynx Lake Lodge","FALSE","https://www.yelp.com/biz/zastrows-lynx-lake-lodge-presque-isle-2?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","5","Restaurants","4.5","46.2087288","-89.6653976","$$","10683 County Road B"
