"ID","Name","Is_Closed","URL","Review_Count","Categories","Rating","Latitude","Longitude","Price","Address"
"RqJKnwYwKKkqQlwejvqhaw","Jug's Hitching Post Saloon & Grill","FALSE","https://www.yelp.com/biz/jugs-hitching-post-saloon-and-grill-west-bend-5?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","23","Venues & Event Spaces | Pubs | American (Traditional)","3.5","43.471931","-88.325935","$$","5781 N Main St"
"2Et7RvabDu8qAEDVgumw6A","Alma's Cafe","FALSE","https://www.yelp.com/biz/almas-cafe-allenton?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","22","Breakfast & Brunch | American (Traditional)","4.5","43.423089","-88.339863","$","751 Church St"
"AvV1d_RYshEAW3FdPzN7IQ","M J Stevens Pub-N-Restaurant","FALSE","https://www.yelp.com/biz/m-j-stevens-pub-n-restaurant-hartford?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","57","American (Traditional) | Bars","4","43.38219","-88.30811","$$","5260 Aurora Rd"
"5PqYEhXY9njKYXqcOVfdFA","Timmer's Restaurant","FALSE","https://www.yelp.com/biz/timmers-restaurant-west-bend?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","50","Venues & Event Spaces | Bars | American (New)","4","43.37708","-88.2546","$$","5151 Timmer Bay Rd"
"FKPZfg1rZc-Kv5jImRh3_g","The Olde Cedar Inn","FALSE","https://www.yelp.com/biz/the-olde-cedar-inn-west-bend?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","9","American (New) | Bars","4","43.40264","-88.26355","$$","5802 State Rd 144"
"4-Hbb8d3-VPOknreKRmO1w","Limping Coyote","FALSE","https://www.yelp.com/biz/limping-coyote-kewaskum?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","14","Bars | Mexican","4","43.52075","-88.22848","$$","109 Main St"
"7U7-1rrh6TWCldgrd_blGQ","Little Red Inn","FALSE","https://www.yelp.com/biz/little-red-inn-hartford?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","29","American (Traditional) | Bars","4","43.36999","-88.333198","$$","4900 State Rd 175"
"kXP7oxTCqICzcUplTWytOQ","Padway's","FALSE","https://www.yelp.com/biz/padways-hartford?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","15","Supper Clubs","3.5","43.3702791294686","-88.2785794502165","$$","4919 Hwy 144"
"b1qkcAdFs3uWILhuIObNuw","Coffee Corner Bistro","FALSE","https://www.yelp.com/biz/coffee-corner-bistro-kewaskum-2?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","28","Coffee & Tea | Salad | Sandwiches","4.5","43.5211749","-88.2287425","$$","102 Main St"
"SKMJDUKadFLYUXoAdfWO3Q","Charcoal Grill","FALSE","https://www.yelp.com/biz/charcoal-grill-west-bend?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","19","American (Traditional) | Burgers","3","43.4274704754353","-88.2335393875837","$$","3650 W Washington St"
