"ID","Name","Is_Closed","URL","Review_Count","Categories","Rating","Latitude","Longitude","Price","Address"
"neZ_JPRgO-2UgUlndMNa3Q","Red Circle Inn & Bistro","FALSE","https://www.yelp.com/biz/red-circle-inn-and-bistro-nashotah?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","30","Venues & Event Spaces | American (Traditional) | Salad","4","43.0993792","-88.4097141","$$$","N44 W33013 Watertown Plank Rd"
"2T5pD0byPc_EfskjYI_cCg","Belfre Kitchen","FALSE","https://www.yelp.com/biz/belfre-kitchen-delafield-4?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","55","Breakfast & Brunch | American (New) | Tapas/Small Plates","4.5","43.06022","-88.40383","$$","606 Genesee St"
"rGvZsGPzcu1oBo_8F__4fg","Zesti Restaurant","FALSE","https://www.yelp.com/biz/zesti-restaurant-hartland?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","83","American (New) | Italian | Bars","4","43.10487","-88.34621","$$","130 E Capitol Dr"
"1JkC1jfqsuI6A1fNdLzi0g","Sobie's Restaurant","FALSE","https://www.yelp.com/biz/sobies-restaurant-oconomowoc-2?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","18","American (New) | American (Traditional)","4.5","43.11098","-88.4988","","123 E Wisconsin Ave"
"gS77AJlR4v5U0zW3GdajTA","Glenda's Cafe","FALSE","https://www.yelp.com/biz/glendas-cafe-okauchee?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","35","Breakfast & Brunch | Diners | American (New)","4","43.111634","-88.441291","$$","N51w34975 Wisconsin Ave"
"Xe0qX3AZDSHAjntd2QK5ZA","S & J Cafe","FALSE","https://www.yelp.com/biz/s-and-j-cafe-oconomowoc?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","35","Breakfast & Brunch | Cafes","5","43.109883","-88.499011","$","113 S Main St"
"DbRlHufxKYyYvFoYK6AcoQ","Hollywood's Roadhouse Bar & Grill","FALSE","https://www.yelp.com/biz/hollywoods-roadhouse-bar-and-grill-nashotah?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","11","Beer, Wine & Spirits | American (New)","4.5","43.1215349640808","-88.4152221679688","$","W332N6629 Cty C"
"0Y7gE7N-mkqJggCKPgJLJw","Golden Mast Inn","FALSE","https://www.yelp.com/biz/golden-mast-inn-okauchee?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","62","Venues & Event Spaces | American (Traditional) | Bars","3.5","43.1146199547","-88.4386452678","$$","W349 Lacys Ln"
"h1b6VFkYo9_WkBy5rSTSxw","Hoggin' It BBQ","FALSE","https://www.yelp.com/biz/hoggin-it-bbq-okauchee?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","32","Barbeque | American (Traditional) | Southern","4","43.1117553964574","-88.4409534228928","$$","N50W34959 Wisconsin Ave"
"pWnRyC7TQgrLORLcFwksmA","Grill Junkies","FALSE","https://www.yelp.com/biz/grill-junkies-delafield?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","78","American (Traditional) | Gluten-Free | Thai","4.5","43.04923","-88.37672","$$","2566 Sun Valley Dr"
"3YHIub5gxnaAzT2-5h8G_g","The Lakeside Supper Club and Lounge","FALSE","https://www.yelp.com/biz/the-lakeside-supper-club-and-lounge-oconomowoc?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","88","American (Traditional) | Bars | Music Venues","3.5","43.07834","-88.48582","$$","37238 Valley Rd"
"jcvi0_WYNxUQ3eGq3_zr1g","Id","FALSE","https://www.yelp.com/biz/id-delafield-4?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","52","American (Traditional) | Bars","4","43.05837","-88.40567","$$$","415 Genesee St"
"LNKFCvuNhPXYI60BKW2DnA","Spitfire Pub and Grill","FALSE","https://www.yelp.com/biz/spitfire-pub-and-grill-okauchee-lake?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","22","Pubs | Burgers | Sandwiches","4","43.1120391613171","-88.4396995926785","$$","N 51 W 34911 Wisconsin Ave"
"UwVYB9A640Xh_mD7B9GBXQ","Crafty Cow","FALSE","https://www.yelp.com/biz/crafty-cow-oconomowoc?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","128","American (New) | Burgers | Bars","4","43.1105003356934","-88.4979705810547","$$","153 E Wisconsin"
"rjWTfU5BxWpxv_wowfdT0Q","Angelina's Ristorante","FALSE","https://www.yelp.com/biz/angelinas-ristorante-delafield?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","32","Italian","4.5","43.06206","-88.40335","$$","621 Milwaukee St"
"0PAsVLDVCEir4UwEOue4Eg","Kick Switch","FALSE","https://www.yelp.com/biz/kick-switch-okauchee?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","17","Bars | American (New)","4","43.112201","-88.441253","$$","N51 W34950 E Wisconsin Ave"
"n77W9EjbQ5BBt4oG_VblGA","Lumber Inn","FALSE","https://www.yelp.com/biz/lumber-inn-delafield?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","113","Breakfast & Brunch | Salad","4","43.06023","-88.40339","$","617 Wells St"
"3jUqL7Tmp1ED-A2_2I0s3g","Revere's Wells Street Tavern","FALSE","https://www.yelp.com/biz/reveres-wells-street-tavern-delafield?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","111","American (Traditional)","3.5","43.06024","-88.40535","$$","505 Wells St"
"n4-L7AAovdMNNKeJ1H92Jw","Bella Gusto Italian Market & Deli","FALSE","https://www.yelp.com/biz/bella-gusto-italian-market-and-deli-oconomowoc?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","36","Delis | Italian | Grocery","4.5","43.1107455661742","-88.4993142480277","$$","29 S Main St"
"6fOpn4ZZn5JLqHd6t13BOA","Fishbone's Cajun & Creole Restaurant","FALSE","https://www.yelp.com/biz/fishbones-cajun-and-creole-restaurant-delafield?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","92","Seafood | Bars | Cajun/Creole","4","43.05856","-88.38647","$$","1704 Milwaukee St"
"urFTrZOYlSFZv14FvPrR1Q","Beer Snobs","FALSE","https://www.yelp.com/biz/beer-snobs-hartland?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","48","American (Traditional) | Salad | Beer Bar","3.5","43.1037902832031","-88.3475570678711","$$","122 Cottonwood Ave"
"G8_xuWaPL3dz40T1W2ISkQ","Picnic Basket","FALSE","https://www.yelp.com/biz/picnic-basket-nashotah?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","56","Pizza | Sandwiches | Mexican","4.5","43.100568","-88.402771","$","W329 N4492 Lakeland Dr"
"leN-38DsNE_iBsZm-ueh-g","Maxim's at Oconomowoc Depot","FALSE","https://www.yelp.com/biz/maxims-at-oconomowoc-depot-oconomowoc?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","55","American (Traditional) | Desserts | Breakfast & Brunch","3.5","43.109581","-88.4988132","$$","115 E Collins St"
