"ID","Name","Is_Closed","URL","Review_Count","Categories","Rating","Latitude","Longitude","Price","Address"
"OmENVcsY4Zc1pxiXgbOH9g","The Kitchen Table","FALSE","https://www.yelp.com/biz/the-kitchen-table-marshfield?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","41","American (New)","4.5","44.6654777509482","-90.174551138623","$$","118 E 3rd St"
"9JRKCgO1QTYGmXPAtkCw5Q","MoJo's Pasta House and Cajun Cook Shack","FALSE","https://www.yelp.com/biz/mojos-pasta-house-and-cajun-cook-shack-marshfield?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","7","Italian | Cajun/Creole","4.5","44.66562","-90.17407","","201 S Central Ave"
"uQ1UpXyRHt7CqLI5l8QIkw","Nutz Deep II","FALSE","https://www.yelp.com/biz/nutz-deep-ii-marshfield?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","47","Burgers | Sports Bars | American (Traditional)","4","44.6602526307106","-90.178165063262","$$","809 S Central Ave"
"tCWxd_zdWx0sEFcVjwGIkQ","The Vintage House","FALSE","https://www.yelp.com/biz/the-vintage-house-marshfield?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","7","American (Traditional) | Seafood | Buffets","4","44.59881","-90.21923","$$","10150 US Hwy 10"
"PiLenMd4PUhj7rDw_M50NA","Blue Heron Brew Pub","FALSE","https://www.yelp.com/biz/blue-heron-brew-pub-marshfield?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","87","American (Traditional) | Pubs","4","44.6596249938011","-90.1791326701641","$$","108 W 9th St"
"p7UvQM4lMzX3FypiRsiFkQ","Taqueria El Sol","FALSE","https://www.yelp.com/biz/taqueria-el-sol-marshfield?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","40","Mexican","4","44.6515624","-90.1824045","$$","1705 S Central Ave"
"ZZHuYVzhSk4veYlToOsvYQ","Crabby Dave's","FALSE","https://www.yelp.com/biz/crabby-daves-marshfield?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","17","American (Traditional)","4","44.66293","-90.17595","$$","501 S Central Ave"
"bDPT_hQfpQN9OEfyBJ4E4A","Hotel Marshfield","FALSE","https://www.yelp.com/biz/hotel-marshfield-marshfield?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","26","Hotels | Venues & Event Spaces | American (Traditional)","4","44.643264","-90.181663","$$$","2700 S Central Ave"
"xeBu6ilqEjUoKaR-IVhZqw","Royal Tokyo Teppanyaki & Steak House","FALSE","https://www.yelp.com/biz/royal-tokyo-teppanyaki-and-steak-house-marshfield?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","27","Japanese","4.5","44.666472","-90.172527","$$","112 E 1st St"
"mBLrTGnwtqammxLqVu96CQ","Marshfield Family Restaurant","FALSE","https://www.yelp.com/biz/marshfield-family-restaurant-marshfield?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","16","American (Traditional) | Breakfast & Brunch","3.5","44.66323","-90.1756","$","443 S Central Ave"
"SCEa9A3mumbR23SBhBwfXw","Libby McNeill's","FALSE","https://www.yelp.com/biz/libby-mcneills-marshfield?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","8","Comfort Food","4","44.642625823617","-90.1803892850876","$$","2700 S Central Ave"
"RO-wlVq24KIrdqZREZOxnw","Chips of Marshfield","FALSE","https://www.yelp.com/biz/chips-of-marshfield-marshfield?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","6","American (Traditional)","4.5","44.65492","-90.18153","$","1409 S Central Ave"
"px3rnm8Bl97Wh4bEGGAbDA","The Rivers Tavern","FALSE","https://www.yelp.com/biz/the-rivers-tavern-marshfield-2?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","8","Cocktail Bars | Steakhouses | Sandwiches","3","44.6601896709771","-90.1782904565334","$$","820 S Central Ave"
"x6S2MXxl5cpNHqFlica_vQ","Gianeselli's","FALSE","https://www.yelp.com/biz/gianesellis-marshfield?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","2","Italian","4","44.65622","-90.18163","","1212 Central Ave"
"MERHb9j_kffTnnxTogOKkQ","RiverEdge Golf Course","FALSE","https://www.yelp.com/biz/riveredge-golf-course-marshfield?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","5","American (Traditional) | Burgers | Buffets","3.5","44.611011505127","-90.2206802368164","","10191 Mill Creek Dr"
"IMy611kWa6wNIIMh7R3TsA","Papagalos","FALSE","https://www.yelp.com/biz/papagalos-marshfield?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","5","Hot Dogs | Greek | Italian","3.5","44.6723742038012","-90.169663131237","$$","603 N Central Ave"
"df9W0hvBJ-go_LVFpB1hcw","Central Cafe","FALSE","https://www.yelp.com/biz/central-cafe-marshfield?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","2","Cafes","3","44.6562","-90.18054","","1209 S Central Ave"
