"ID","Name","Is_Closed","URL","Review_Count","Categories","Rating","Latitude","Longitude","Price","Address"
"P4rJt38qsSSTPUD6IBh-uw","Smoke To The Bone","FALSE","https://www.yelp.com/biz/smoke-to-the-bone-green-bay?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","5","Food Trucks | Barbeque","4","44.51426","-88.11997","","1718 Gobi Trl"
"ICUXoDD0re65Zh7kCeJFrg","Seven Lakes Golf Course","FALSE","https://www.yelp.com/biz/seven-lakes-golf-course-cato?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","3","Restaurants","4.5","44.1148605","-87.8222809","","1420 N County Rd S"
"uqXUWe4BMtBgAEG-qjyPkQ","Seven Lakes Golf & Dining","FALSE","https://www.yelp.com/biz/seven-lakes-golf-and-dining-reedsville?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","1","Restaurants | Golf","4","44.1148605","-87.8222809","$$","1420 N County Rd S"
"v4NnVHEo8LznqXcl65dtDQ","Covered Wagon Restaurant","FALSE","https://www.yelp.com/biz/covered-wagon-restaurant-manitowoc?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","2","Restaurants","3.5","44.1220703","-87.7082291","$","2013 N Rapids Rd"
"4INQzisC0_NQYUrRlcYliw","First Class Café","FALSE","https://www.yelp.com/biz/first-class-caf%C3%A9-manitowoc-2?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","8","American (New)","4","44.1164143722947","-87.6832441874093","$","2525 Menasha Ave"
"KNkQONNOA8XL8G9BLt1iFQ","Pizza Garden","FALSE","https://www.yelp.com/biz/pizza-garden-manitowoc-2?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","3","Pizza","4.5","44.1158905","-87.6862106","","1602 N 30th St"
"ufHJhKYAp3jMDKdyBlwIEA","Galley Restaurant","FALSE","https://www.yelp.com/biz/galley-restaurant-manitowoc?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","3","American (Traditional)","4.5","44.1189041137695","-87.6407470703125","$$","1550 Johnston Dr"
"OGK7rUoTC8zzj_yezRVxyw","Wisco Tech Bar & Grille","FALSE","https://www.yelp.com/biz/wisco-tech-bar-and-grille-manitowoc?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","8","American (Traditional) | Pubs","4","44.1190223693848","-87.6308135986328","$$","1228 Memorial Dr"
"BLNtDOozskLOQ85QItY_qQ","Dairy Queen Brazier","FALSE","https://www.yelp.com/biz/dairy-queen-brazier-manitowoc?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","3","Restaurants","1.5","44.1135292","-87.6377411","$","808 Memorial Dr"
"fJTRFdOLMUaHyNokkOIVBQ","The Sandpiper Bar & Grill","FALSE","https://www.yelp.com/biz/the-sandpiper-bar-and-grill-two-rivers?adjust_creative=QNZpjiWMh-xtTiixb79gYw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=QNZpjiWMh-xtTiixb79gYw","5","Burgers | Pool Halls | Sandwiches","4.5","44.12736","-87.61205","","4220 Memorial Dr"
